iso3c,SPAM_short_name,tonnes_co2eq,fao_tonnes_co2eq
AFG,maiz,6689.704309754539,11909
ALB,maiz,2962.7273531481624,4588.5999999999995
DZA,maiz,44.18052278831601,64.10000000000001
AGO,maiz,49537.37357536331,163796.5
ATG,maiz,0.6151437014341354,3.7
ARG,maiz,298765.39453196246,419172.9
ARM,maiz,551.5197812519036,257.90000000000003
AUS,maiz,3691.5461565977894,4177.2
AUT,maiz,20684.974813377135,15307.800000000001
AZE,maiz,2070.280978719238,2810.4
BHS,maiz,6.981238350272179,7.1000000000000005
BGD,maiz,51282.24579342175,26262
BRB,maiz,0.7496041972190142,2.6
BLR,maiz,8470.980189380934,9737.9
BEL,maiz,4438.744316026568,4082.7999999999997
BLZ,maiz,508.23282723128796,1732
BEN,maiz,31527.988358024508,78428.29999999999
BTN,maiz,2004.1083849859424,1796.8
BOL,maiz,21434.795300880447,30914.2
BIH,maiz,10503.344984555151,15030.8
BWA,maiz,209.7575574608636,4302.3
BRA,maiz,536682.7917846895,1172774.7999999998
BGR,maiz,17147.493336605432,31904.3
BFA,maiz,31747.76956428401,71479.5
BDI,maiz,5265.407569371164,14398.8
KHM,maiz,14763.19002801925,11276.300000000001
CMR,maiz,44983.699891621014,94629.8
CAN,maiz,104749.72501779045,103307.7
CPV,maiz,89.73688480257988,2485.1
CAF,maiz,2027.0060666919453,9050.800000000001
TCD,maiz,10801.395562570542,27339.300000000003
CHL,maiz,10218.447798579931,7976.4
CHN,maiz,2265270.3200415606,3463555.1999999997
COL,maiz,12175.43938199454,33033.5
COM,maiz,0,236.6
CRI,maiz,87.6156711227959,384.90000000000003
CIV,maiz,20494.705642863177,38549.2
HRV,maiz,17915.14219563082,19762.399999999998
CUB,maiz,3477.7572224470787,13360.8
CZE,maiz,9277.488031208515,6774.3
DNK,maiz,219.97321224212646,446.90000000000003
DJI,maiz,0.1888345554471016,0.6
DMA,maiz,1.573290891945362,8.7
DOM,maiz,362.50095589994453,1983.5
ECU,maiz,8726.018586972263,23997.800000000003
EGY,maiz,171119.02000203868,80570.3
SLV,maiz,19670.585989986546,23796.1
ERI,maiz,382.29593734210357,1568
ETH,maiz,167692.78843244724,167428.8
FJI,maiz,6.448905118508264,22.700000000000003
FRA,maiz,109193.04508447228,116584
GAB,maiz,387.37065228051506,2210.6
GMB,maiz,601.891728758812,3336
GEO,maiz,8643.539272328839,7291.2
DEU,maiz,37371.598549659364,32637.9
GHA,maiz,33841.18344183033,69229.6
GRC,maiz,12703.498844389804,10927.4
GRD,maiz,3.12705397605896,27.099999999999998
GUM,maiz,0.4065413624048233,1.5
GTM,maiz,41440.236907407176,69187.70000000001
GIN,maiz,16068.640308398986,47854.5
GNB,maiz,155.82914769474883,544
GUY,maiz,34.790863362606615,7.8
GUY,maiz,34.790863362606615,228.8
HTI,maiz,5475.239618982188,26375.5
HND,maiz,13447.698222441599,29907.9
HUN,maiz,79562.42876448529,79306.5
IND,maiz,512875.85223338194,776160
IDN,maiz,486077.81224539503,348409.60000000003
IRN,maiz,11437.284640990896,12429.1
IRQ,maiz,2341.0979464129778,5232.3
ISR,maiz,706.2414364553988,273.6
ITA,maiz,60000.437095687725,51801
JAM,maiz,21.004225998418406,169
JPN,maiz,1.4256626819260418,5
JOR,maiz,409.0924039557576,57.2
KAZ,maiz,6588.719336947659,10593.1
KEN,maiz,63940.072520937305,183266.69999999998
KWT,maiz,20.687003694009036,35.3
KGZ,maiz,14220.309886875562,7974.5999999999995
LAO,maiz,35058.877671182854,20298.5
LBN,maiz,18.144609100185335,65.4
LSO,maiz,310.50654419884086,3212.9
LBY,maiz,29.250845926930197,116.4
LTU,maiz,750.2930664508604,974.1999999999999
LUX,maiz,5.6344581581652164,9.799999999999999
MKD,maiz,1302.5351108245668,2491.5
MDG,maiz,6925.923036545282,14468.9
MWI,maiz,52648.32221177686,131247.6
MYS,maiz,566.1573741977336,787.3
MDV,maiz,0,2.5
MLI,maiz,61329.14914397057,80871.3
MRT,maiz,235.25585496798158,1724.8000000000002
MUS,maiz,2.5307523272931576,4.8
MEX,maiz,211090.5622174472,595690
FSM,maiz,0.3400895521044731,4.7
MDA,maiz,28269.691618919373,36534.5
MNE,maiz,157.7066138619557,49.2
