iso3c,Country,SPAM_short_name,SPAM_production,FAO_production,SPAM_full_name,per_diff,raw_diff
NA,NA,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,acof,0,NA,arabica coffee,NA,NA
ALA,Åland,acof,0,NA,arabica coffee,NA,NA
ALB,Albania,acof,0,NA,arabica coffee,NA,NA
DZA,Algeria,acof,0,NA,arabica coffee,NA,NA
ASM,American Samoa,acof,0,NA,arabica coffee,NA,NA
AND,Andorra,acof,0,NA,arabica coffee,NA,NA
AGO,Angola,acof,1.1825143098831177,14709,arabica coffee,1.9996784501324214,-14707.817485690117
AIA,Anguilla,acof,0,NA,arabica coffee,NA,NA
ATG,Antigua and Barbuda,acof,0,NA,arabica coffee,NA,NA
ARG,Argentina,acof,0.10000000149011612,NA,arabica coffee,NA,NA
ARM,Armenia,acof,0,NA,arabica coffee,NA,NA
ABW,Aruba,acof,0,NA,arabica coffee,NA,NA
AUS,Australia,acof,0,NA,arabica coffee,NA,NA
AUT,Austria,acof,0,NA,arabica coffee,NA,NA
AZE,Azerbaijan,acof,0,NA,arabica coffee,NA,NA
BHS,Bahamas,acof,0,NA,arabica coffee,NA,NA
BHR,Bahrain,acof,0,NA,arabica coffee,NA,NA
BGD,Bangladesh,acof,12.100000381469727,NA,arabica coffee,NA,NA
BRB,Barbados,acof,0,NA,arabica coffee,NA,NA
BLR,Belarus,acof,0,NA,arabica coffee,NA,NA
BEL,Belgium,acof,0,NA,arabica coffee,NA,NA
BLZ,Belize,acof,95.14888870716095,94,arabica coffee,0.0121479826290669,1.1488887071609497
BEN,Benin,acof,0,48,arabica coffee,2,-48
BMU,Bermuda,acof,0,NA,arabica coffee,NA,NA
BTN,Bhutan,acof,0,NA,arabica coffee,NA,NA
BOL,Bolivia,acof,21627.885461829603,21427,arabica coffee,0.009331598942828364,200.88546182960272
BES,"Bonaire, Sint Eustatius and Saba",acof,0,NA,arabica coffee,NA,NA
BIH,Bosnia and Herzegovina,acof,0,NA,arabica coffee,NA,NA
BWA,Botswana,acof,0,NA,arabica coffee,NA,NA
BRA,Brazil,acof,1678749.7874490395,3024466,arabica coffee,0.5722536551021652,-1345716.2125509605
IOT,British Indian Ocean Territory,acof,0,NA,arabica coffee,NA,NA
VGB,British Virgin Islands,acof,0,NA,arabica coffee,NA,NA
BRN,Brunei,acof,0.10000000149011612,NA,arabica coffee,NA,NA
BGR,Bulgaria,acof,0,NA,arabica coffee,NA,NA
BFA,Burkina Faso,acof,0,NA,arabica coffee,NA,NA
BDI,Burundi,acof,7697.3328401539475,13624,arabica coffee,0.5559377740855398,-5926.6671598460525
KHM,Cambodia,acof,0,372,arabica coffee,2,-372
CMR,Cameroon,acof,1974.7552266158164,33101,arabica coffee,1.7748011167420448,-31126.244773384184
CAN,Canada,acof,0,NA,arabica coffee,NA,NA
CPV,Cape Verde,acof,0,68,arabica coffee,2,-68
CYM,Cayman Islands,acof,0,NA,arabica coffee,NA,NA
