Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GA","Crop Residues","2","Afghanistan","72392","Residues (Crop residues)","44","Barley","2016","2016","kg of nutrients","4402174.0754","Fc","Calculated data"
"GA","Crop Residues","2","Afghanistan","72392","Residues (Crop residues)","56","Maize","2016","2016","kg of nutrients","2964109.0514","Fc","Calculated data"
"GA","Crop Residues","2","Afghanistan","72392","Residues (Crop residues)","79","Millet","2016","2016","kg of nutrients","109449.6335","Fc","Calculated data"
"GA","Crop Residues","2","Afghanistan","72392","Residues (Crop residues)","116","Potatoes","2016","2016","kg of nutrients","1190257.6886","Fc","Calculated data"
"GA","Crop Residues","2","Afghanistan","72392","Residues (Crop residues)","27","Rice, paddy","2016","2016","kg of nutrients","5034381.9333","Fc","Calculated data"
"GA","Crop Residues","2","Afghanistan","72392","Residues (Crop residues)","15","Wheat","2016","2016","kg of nutrients","62307109.538","Fc","Calculated data"
"GA","Crop Residues","3","Albania","72392","Residues (Crop residues)","44","Barley","2016","2016","kg of nutrients","112476.3414","Fc","Calculated data"
"GA","Crop Residues","3","Albania","72392","Residues (Crop residues)","176","Beans, dry","2016","2016","kg of nutrients","229432.4115","Fc","Calculated data"
"GA","Crop Residues","3","Albania","72392","Residues (Crop residues)","56","Maize","2016","2016","kg of nutrients","3076027.2078","Fc","Calculated data"
"GA","Crop Residues","3","Albania","72392","Residues (Crop residues)","75","Oats","2016","2016","kg of nutrients","375611.8659","Fc","Calculated data"
"GA","Crop Residues","3","Albania","72392","Residues (Crop residues)","116","Potatoes","2016","2016","kg of nutrients","446307.2959","Fc","Calculated data"
"GA","Crop Residues","3","Albania","72392","Residues (Crop residues)","71","Rye","2016","2016","kg of nutrients","31536.8822","Fc","Calculated data"
"GA","Crop Residues","3","Albania","72392","Residues (Crop residues)","236","Soybeans","2016","2016","kg of nutrients","8888.1863","Fc","Calculated data"
"GA","Crop Residues","3","Albania","72392","Residues (Crop residues)","15","Wheat","2016","2016","kg of nutrients","3497646.9877","Fc","Calculated data"
"GA","Crop Residues","4","Algeria","72392","Residues (Crop residues)","44","Barley","2016","2016","kg of nutrients","16524322.0009","Fc","Calculated data"
"GA","Crop Residues","4","Algeria","72392","Residues (Crop residues)","176","Beans, dry","2016","2016","kg of nutrients","14232.7864","Fc","Calculated data"
"GA","Crop Residues","4","Algeria","72392","Residues (Crop residues)","56","Maize","2016","2016","kg of nutrients","30916.661","Fc","Calculated data"
"GA","Crop Residues","4","Algeria","72392","Residues (Crop residues)","75","Oats","2016","2016","kg of nutrients","1165593.725","Fc","Calculated data"
"GA","Crop Residues","4","Algeria","72392","Residues (Crop residues)","116","Potatoes","2016","2016","kg of nutrients","8118726.636","Fc","Calculated data"
"GA","Crop Residues","4","Algeria","72392","Residues (Crop residues)","27","Rice, paddy","2016","2016","kg of nutrients","4463.8876","Fc","Calculated data"
"GA","Crop Residues","4","Algeria","72392","Residues (Crop residues)","83","Sorghum","2016","2016","kg of nutrients","66957.8011","Fc","Calculated data"
"GA","Crop Residues","4","Algeria","72392","Residues (Crop residues)","15","Wheat","2016","2016","kg of nutrients","36581756.1243","Fc","Calculated data"
"GA","Crop Residues","7","Angola","72392","Residues (Crop residues)","176","Beans, dry","2016","2016","kg of nutrients","7448964.2867","Fc","Calculated data"
"GA","Crop Residues","7","Angola","72392","Residues (Crop residues)","56","Maize","2016","2016","kg of nutrients","25637292.2279","Fc","Calculated data"
"GA","Crop Residues","7","Angola","72392","Residues (Crop residues)","79","Millet","2016","2016","kg of nutrients","665297.9844","Fc","Calculated data"
"GA","Crop Residues","7","Angola","72392","Residues (Crop residues)","116","Potatoes","2016","2016","kg of nutrients","3301396.5708","Fc","Calculated data"
"GA","Crop Residues","7","Angola","72392","Residues (Crop residues)","27","Rice, paddy","2016","2016","kg of nutrients","1218971.5457","Fc","Calculated data"
"GA","Crop Residues","7","Angola","72392","Residues (Crop residues)","83","Sorghum","2016","2016","kg of nutrients","3202972.1219","Fc","Calculated data"
"GA","Crop Residues","7","Angola","72392","Residues (Crop residues)","236","Soybeans","2016","2016","kg of nutrients","420412.8347","Fc","Calculated data"
"GA","Crop Residues","7","Angola","72392","Residues (Crop residues)","15","Wheat","2016","2016","kg of nutrients","55681.8545","Fc","Calculated data"
"GA","Crop Residues","8","Antigua and Barbuda","72392","Residues (Crop residues)","56","Maize","2016","2016","kg of nutrients","765.7661","Fc","Calculated data"
"GA","Crop Residues","9","Argentina","72392","Residues (Crop residues)","44","Barley","2016","2016","kg of nutrients","59223789.2661","Fc","Calculated data"
"GA","Crop Residues","9","Argentina","72392","Residues (Crop residues)","176","Beans, dry","2016","2016","kg of nutrients","4565579.6654","Fc","Calculated data"
"GA","Crop Residues","9","Argentina","72392","Residues (Crop residues)","56","Maize","2016","2016","kg of nutrients","319028164.6757","Fc","Calculated data"
"GA","Crop Residues","9","Argentina","72392","Residues (Crop residues)","79","Millet","2016","2016","kg of nutrients","79890.1773","Fc","Calculated data"
"GA","Crop Residues","9","Argentina","72392","Residues (Crop residues)","75","Oats","2016","2016","kg of nutrients","6383579.8578","Fc","Calculated data"
"GA","Crop Residues","9","Argentina","72392","Residues (Crop residues)","116","Potatoes","2016","2016","kg of nutrients","4055277.9264","Fc","Calculated data"
"GA","Crop Residues","9","Argentina","72392","Residues (Crop residues)","27","Rice, paddy","2016","2016","kg of nutrients","14848587.2257","Fc","Calculated data"
"GA","Crop Residues","9","Argentina","72392","Residues (Crop residues)","71","Rye","2016","2016","kg of nutrients","751478.5712","Fc","Calculated data"
