SPAM_full_name,SPAM_short_name,SPAM_production,FAO_production,per_diff,raw_diff
NA,NA,NA,NA,NA,NA
arabica coffee,acof,4935191.807267922,8477504,0.5282028674373737,-3542312.192732078
banana,bana,111250287.27793089,108664116,0.023519798970715405,2586171.2779308856
barley,barl,167604638.15078783,123317084,0.30446371500463704,44287554.15078783
bean,bean,27245472.208321996,24634100,0.10067053744529937,2611372.208321996
cassava,cass,294977714.7448051,239296357,0.20843743198304102,55681357.7448051
chickpea,chic,11259257.910816565,10810317,0.04068414662545528,448940.91081656516
coconut,cnut,59661503.07442263,60543523,0.014675258670653033,-882019.9255773723
cocoa,coco,4808529.667697037,4329437,0.10485760894502764,479092.66769703664
cotton,cott,68786039.26154193,69220248,0.006292593577786477,-434208.7384580672
cowpea,cowp,5600870.055259166,6834862,0.1984590757114245,-1233991.9447408337
groundnut,grou,40910941.47310523,43482219,0.0609356851308868,-2571277.5268947706
lentil,lent,5997774.86851002,4724581,0.23748397910373464,1273193.86851002
maize,maiz,1138467540.2335196,851679519,0.28820786876319826,286788021.23351955
other cereals,ocer,79092307.92434081,57496398,0.3162180910668151,21595909.924340814
other fibre crops,ofib,5465486.2886602245,5946049,0.0842240240570112,-480562.7113397755
oilpalm,oilp,261866441.9306013,223773974,0.15687519687836182,38092467.9306013
other oil crops,ooil,29482321.533938996,74065798,0.861116100740937,-44583476.466061
other pulses,opul,31152188.08385127,20375527,0.41828600652345493,10776661.08385127
other roots,orts,21204489.975471243,18790362,0.12072193576072354,2414127.9754712433
pigeonpea,pige,4282957.628626324,3891032,0.09589579787421118,391925.62862632424
plantain,plnt,34881738.284592785,33387469,0.04377579128357673,1494269.284592785
pearl millet,pmil,18546791.235886566,32799463,0.5551591630671301,-14252671.764113434
potato,pota,376902317.6431437,328616916,0.13687905117429242,48285401.64314371
rapeseed,rape,71202199.15888584,60473408,0.1629579143833373,10728791.158885837
robusta coffee,rcof,4231677.890708409,8477504,0.6681509708183,-4245826.109291591
rest of crops,rest,42960365.14017056,60348215,0.3366196657864692,-17387849.85982944
rice,rice,755748101.610476,701138549,0.07496746927785095,54609552.61047602
sesameseed,sesa,5204819.683394188,4322074,0.18531658119222097,882745.6833941881
small millet,smil,6588209.174971974,32799463,1.3309369342056923,-26211253.825028025
sorghum,sorg,57189131.535629675,60181382,0.05098811233303466,-2992250.464370325
soybean,soyb,318088845.0439519,265088429,0.18176433960270363,53000416.04395193
sugarbeet,sugb,308879570.5812738,228408922,0.2995435401740017,80470648.5812738
sugarcane,sugc,1920609953.8690674,1682839957,0.13196797666141163,237769996.86906743
sunflower,sunf,54038363.69452903,31453170,0.5283609433240136,22585193.694529027
sweet potato,swpo,93967245.64425151,97703995,0.038991236694544344,-3736749.3557484895
tea,teas,5807190.48383696,4621941,0.22729591350417944,1185249.48383696
temperate fruit,temf,284554463.2414122,240501549,0.16780272281181843,44052914.24141222
tobacco,toba,6604002.23719071,6944875,0.050317492267716174,-340872.7628092896
tropical fruit,trof,413602869.4386093,357860668,0.14451026842741765,55742201.4386093
vegetables,vege,1064330285.4035838,924812320,0.14027950034811756,139517965.40358377
wheat,whea,798770998.1252311,640802664,0.2194654407500395,157968334.12523115
yams,yams,68043945.86607051,56737565,0.18121884865147664,11306380.866070509
