Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GM","Manure Management","2","Afghanistan","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","502952.2787","Fc","Calculated data"
"GM","Manure Management","3","Albania","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1007125.812","Fc","Calculated data"
"GM","Manure Management","4","Algeria","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","7595501.9621","Fc","Calculated data"
"GM","Manure Management","5","American Samoa","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","11124.821","Fc","Calculated data"
"GM","Manure Management","7","Angola","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","2389246.2","Fc","Calculated data"
"GM","Manure Management","8","Antigua and Barbuda","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","20909.6767","Fc","Calculated data"
"GM","Manure Management","9","Argentina","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","14251644","Fc","Calculated data"
"GM","Manure Management","1","Armenia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","126881.5482","Fc","Calculated data"
"GM","Manure Management","10","Australia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","26086319.028","Fc","Calculated data"
"GM","Manure Management","11","Austria","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3513608.406","Fc","Calculated data"
"GM","Manure Management","52","Azerbaijan","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1321316.0235","Fc","Calculated data"
"GM","Manure Management","12","Bahamas","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","611503.2533","Fc","Calculated data"
"GM","Manure Management","13","Bahrain","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","28076.1578","Fc","Calculated data"
"GM","Manure Management","16","Bangladesh","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","4649183.3025","Fc","Calculated data"
"GM","Manure Management","14","Barbados","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","577833.7443","Fc","Calculated data"
"GM","Manure Management","57","Belarus","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","9356670.0625","Fc","Calculated data"
"GM","Manure Management","255","Belgium","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","6138722.205","Fc","Calculated data"
"GM","Manure Management","23","Belize","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","180076.6478","Fc","Calculated data"
"GM","Manure Management","53","Benin","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","167668.3043","Fc","Calculated data"
"GM","Manure Management","17","Bermuda","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","7338.2488","Fc","Calculated data"
"GM","Manure Management","18","Bhutan","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","31401.315","Fc","Calculated data"
"GM","Manure Management","19","Bolivia (Plurinational State of)","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","37520917.4466","Fc","Calculated data"
"GM","Manure Management","80","Bosnia and Herzegovina","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3998402.793","Fc","Calculated data"
"GM","Manure Management","20","Botswana","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","13731.3","Fc","Calculated data"
"GM","Manure Management","21","Brazil","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","214979569.2241","Fc","Calculated data"
"GM","Manure Management","26","Brunei Darussalam","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3073224.8374","Fc","Calculated data"
"GM","Manure Management","27","Bulgaria","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","2987815.248","Fc","Calculated data"
"GM","Manure Management","233","Burkina Faso","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1819397.25","Fc","Calculated data"
"GM","Manure Management","29","Burundi","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","73920.7371","Fc","Calculated data"
"GM","Manure Management","35","Cabo Verde","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","50874.4665","Fc","Calculated data"
"GM","Manure Management","115","Cambodia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1618180.5143","Fc","Calculated data"
"GM","Manure Management","32","Cameroon","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3177422.82","Fc","Calculated data"
"GM","Manure Management","33","Canada","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","49942993.5564","Fc","Calculated data"
"GM","Manure Management","36","Cayman Islands","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1077.2566","Fc","Calculated data"
"GM","Manure Management","37","Central African Republic","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","456049.2908","Fc","Calculated data"
"GM","Manure Management","39","Chad","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","329094.5656","Fc","Calculated data"
"GM","Manure Management","40","Chile","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","19889426.7","Fc","Calculated data"
"GM","Manure Management","351","China","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","403240363.1895","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GM","Manure Management","96","China, Hong Kong SAR","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","245446.9875","Fc","Calculated data"
"GM","Manure Management","128","China, Macao SAR","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","131570.1187","Fc","Calculated data"
"GM","Manure Management","41","China, mainland","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","392587365.1209","Fc","Calculated data"
"GM","Manure Management","214","China, Taiwan Province of","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","10275980.9625","Fc","Calculated data"
"GM","Manure Management","44","Colombia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","22468013.1164","Fc","Calculated data"
"GM","Manure Management","45","Comoros","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","24198.9446","Fc","Calculated data"
"GM","Manure Management","46","Congo","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","166282.5415","Fc","Calculated data"
"GM","Manure Management","47","Cook Islands","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","4749.7542","Fc","Calculated data"
"GM","Manure Management","48","Costa Rica","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","4498769.3053","Fc","Calculated data"
"GM","Manure Management","107","Côte d'Ivoire","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3572596.8639","Fc","Calculated data"
"GM","Manure Management","98","Croatia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","2026645.929","Fc","Calculated data"
"GM","Manure Management","49","Cuba","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","4410464.652","Fc","Calculated data"
"GM","Manure Management","50","Cyprus","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","211783.6215","Fc","Calculated data"
"GM","Manure Management","167","Czechia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","5752760.6565","Fc","Calculated data"
"GM","Manure Management","116","Democratic People's Republic of Korea","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","0","Fc","Calculated data"
"GM","Manure Management","250","Democratic Republic of the Congo","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1133049.2045","Fc","Calculated data"
"GM","Manure Management","54","Denmark","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","4693546.242","Fc","Calculated data"
"GM","Manure Management","55","Dominica","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","31338.7364","Fc","Calculated data"
"GM","Manure Management","56","Dominican Republic","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","34811736.3","Fc","Calculated data"
"GM","Manure Management","58","Ecuador","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","31374575.1","Fc","Calculated data"
"GM","Manure Management","59","Egypt","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","7957422.7108","Fc","Calculated data"
"GM","Manure Management","60","El Salvador","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","2229737.6087","Fc","Calculated data"
"GM","Manure Management","61","Equatorial Guinea","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","20596.95","Fc","Calculated data"
"GM","Manure Management","178","Eritrea","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","50943.123","Fc","Calculated data"
"GM","Manure Management","63","Estonia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","497188.692","Fc","Calculated data"
"GM","Manure Management","209","Eswatini","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","247345.7517","Fc","Calculated data"
"GM","Manure Management","238","Ethiopia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3328727.1222","Fc","Calculated data"
"GM","Manure Management","65","Falkland Islands (Malvinas)","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","675.6956","Fc","Calculated data"
"GM","Manure Management","66","Fiji","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1596548.6904","Fc","Calculated data"
"GM","Manure Management","67","Finland","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1654816.779","Fc","Calculated data"
"GM","Manure Management","68","France","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","38271489.102","Fc","Calculated data"
"GM","Manure Management","69","French Guyana","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","0","Fc","Calculated data"
"GM","Manure Management","70","French Polynesia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","58566.6324","Fc","Calculated data"
"GM","Manure Management","74","Gabon","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","172984.0338","Fc","Calculated data"
"GM","Manure Management","75","Gambia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","74543.3829","Fc","Calculated data"
"GM","Manure Management","73","Georgia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","570121.1947","Fc","Calculated data"
"GM","Manure Management","79","Germany","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","41875398.873","Fc","Calculated data"
"GM","Manure Management","81","Ghana","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3709358.7582","Fc","Calculated data"
"GM","Manure Management","84","Greece","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","7889758.0985","Fc","Calculated data"
"GM","Manure Management","86","Grenada","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","25341.0997","Fc","Calculated data"
"GM","Manure Management","87","Guadeloupe","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","33121.2398","Fc","Calculated data"
"GM","Manure Management","88","Guam","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","72726.8656","Fc","Calculated data"
"GM","Manure Management","89","Guatemala","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3338167.3945","Fc","Calculated data"
"GM","Manure Management","90","Guinea","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1593929.304","Fc","Calculated data"
"GM","Manure Management","175","Guinea-Bissau","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","118796.5479","Fc","Calculated data"
"GM","Manure Management","91","Guyana","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","5587476.4925","Fc","Calculated data"
"GM","Manure Management","93","Haiti","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1098259.5612","Fc","Calculated data"
"GM","Manure Management","95","Honduras","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","8623930.2961","Fc","Calculated data"
"GM","Manure Management","97","Hungary","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","7170112.6695","Fc","Calculated data"
"GM","Manure Management","99","Iceland","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","0","Fc","Calculated data"
"GM","Manure Management","100","India","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","78028055.0302","Fc","Calculated data"
"GM","Manure Management","101","Indonesia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","382922938.2825","Fc","Calculated data"
"GM","Manure Management","102","Iran (Islamic Republic of)","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","194357977.7124","Fc","Calculated data"
"GM","Manure Management","103","Iraq","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","4322963.7495","Fc","Calculated data"
"GM","Manure Management","104","Ireland","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3861603.6616","Fc","Calculated data"
"GM","Manure Management","105","Israel","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3432026.4165","Fc","Calculated data"
"GM","Manure Management","106","Italy","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","26251741.0615","Fc","Calculated data"
"GM","Manure Management","109","Jamaica","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","2618634.5839","Fc","Calculated data"
"GM","Manure Management","110","Japan","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","34891034.5575","Fc","Calculated data"
"GM","Manure Management","112","Jordan","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","2839702.7323","Fc","Calculated data"
"GM","Manure Management","108","Kazakhstan","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","3072161.565","Fc","Calculated data"
"GM","Manure Management","114","Kenya","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1811807.4799","Fc","Calculated data"
"GM","Manure Management","83","Kiribati","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","195564.6725","Fc","Calculated data"
"GM","Manure Management","118","Kuwait","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","4216390.794","Fc","Calculated data"
"GM","Manure Management","113","Kyrgyzstan","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","89831.61","Fc","Calculated data"
"GM","Manure Management","120","Lao People's Democratic Republic","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","6447041.3462","Fc","Calculated data"
"GM","Manure Management","119","Latvia","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","0","Fc","Calculated data"
