Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","495910.9468","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","148773.284","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","99182.1894","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","1004556.6135","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","301366.984","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","200911.3227","Fc","Calculated data"
"GU","Manure applied to Soils","4","Algeria","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","7595501.9621","Fc","Calculated data"
"GU","Manure applied to Soils","4","Algeria","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","2278650.5886","Fc","Calculated data"
"GU","Manure applied to Soils","4","Algeria","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","1519100.3924","Fc","Calculated data"
"GU","Manure applied to Soils","5","American Samoa","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","11124.821","Fc","Calculated data"
"GU","Manure applied to Soils","5","American Samoa","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","3337.4463","Fc","Calculated data"
"GU","Manure applied to Soils","5","American Samoa","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","2224.9642","Fc","Calculated data"
"GU","Manure applied to Soils","7","Angola","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","2389246.2","Fc","Calculated data"
"GU","Manure applied to Soils","7","Angola","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","716773.86","Fc","Calculated data"
"GU","Manure applied to Soils","7","Angola","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","477849.24","Fc","Calculated data"
"GU","Manure applied to Soils","8","Antigua and Barbuda","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","20909.6767","Fc","Calculated data"
"GU","Manure applied to Soils","8","Antigua and Barbuda","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","6272.903","Fc","Calculated data"
"GU","Manure applied to Soils","8","Antigua and Barbuda","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","4181.9353","Fc","Calculated data"
"GU","Manure applied to Soils","9","Argentina","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","14251644","Fc","Calculated data"
"GU","Manure applied to Soils","9","Argentina","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","4275493.2","Fc","Calculated data"
"GU","Manure applied to Soils","9","Argentina","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","2850328.8","Fc","Calculated data"
"GU","Manure applied to Soils","1","Armenia","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","126881.5482","Fc","Calculated data"
"GU","Manure applied to Soils","1","Armenia","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","38064.4645","Fc","Calculated data"
"GU","Manure applied to Soils","1","Armenia","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","25376.3096","Fc","Calculated data"
"GU","Manure applied to Soils","10","Australia","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","26086319.028","Fc","Calculated data"
