Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","406934.1164","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","122080.2349","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","81386.8233","Fc","Calculated data"
"GP","Manure left on Pasture","3","Albania","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","20553.588","Fc","Calculated data"
"GP","Manure left on Pasture","3","Albania","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","6166.0764","Fc","Calculated data"
"GP","Manure left on Pasture","3","Albania","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","4110.7176","Fc","Calculated data"
"GP","Manure left on Pasture","4","Algeria","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","32380824.154","Fc","Calculated data"
"GP","Manure left on Pasture","4","Algeria","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","9714247.2462","Fc","Calculated data"
"GP","Manure left on Pasture","4","Algeria","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","6476164.8308","Fc","Calculated data"
"GP","Manure left on Pasture","5","American Samoa","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","344.0666","Fc","Calculated data"
"GP","Manure left on Pasture","5","American Samoa","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","103.22","Fc","Calculated data"
"GP","Manure left on Pasture","5","American Samoa","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","68.8133","Fc","Calculated data"
"GP","Manure left on Pasture","7","Angola","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","10185733.8","Fc","Calculated data"
"GP","Manure left on Pasture","7","Angola","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","3055720.14","Fc","Calculated data"
"GP","Manure left on Pasture","7","Angola","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","2037146.76","Fc","Calculated data"
"GP","Manure left on Pasture","8","Antigua and Barbuda","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","15141.4901","Fc","Calculated data"
"GP","Manure left on Pasture","8","Antigua and Barbuda","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","4542.447","Fc","Calculated data"
"GP","Manure left on Pasture","8","Antigua and Barbuda","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","3028.298","Fc","Calculated data"
"GP","Manure left on Pasture","9","Argentina","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","10320156","Fc","Calculated data"
