Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2016","2016","tonnes","32843"
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2016","2016","tonnes","18040"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2016","2016","tonnes","140903"
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2016","2016","tonnes","17894"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2016","2016","tonnes","301856"
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2016","2016","tonnes","24031"
"QC","Crops","2","Afghanistan","5510","Production","767","Cotton lint","2016","2016","tonnes","19469"
"QC","Crops","2","Afghanistan","5510","Production","329","Cottonseed","2016","2016","tonnes","38347"
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2016","2016","tonnes","3143"
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2016","2016","tonnes","18185"
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2016","2016","tonnes","70083"
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2016","2016","tonnes","50210"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2016","2016","tonnes","874541"
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2016","2016","tonnes","219"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2016","2016","tonnes","311646"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2016","2016","tonnes","506266"
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2016","2016","tonnes","12138"
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts nes","2016","2016","tonnes","1365"
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2016","2016","tonnes","7657"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2016","2016","tonnes","141649"
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2016","2016","tonnes","4055"
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2016","2016","tonnes","15306"
"QC","Crops","2","Afghanistan","5510","Production","521","Pears","2016","2016","tonnes","5226"
"QC","Crops","2","Afghanistan","5510","Production","223","Pistachios","2016","2016","tonnes","2718"
"QC","Crops","2","Afghanistan","5510","Production","536","Plums and sloes","2016","2016","tonnes","18504"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2016","2016","tonnes","427917"
"QC","Crops","2","Afghanistan","5510","Production","211","Pulses nes","2016","2016","tonnes","80917"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2016","2016","tonnes","356565"
"QC","Crops","2","Afghanistan","5510","Production","328","Seed cotton","2016","2016","tonnes","58996"
"QC","Crops","2","Afghanistan","5510","Production","289","Sesame seed","2016","2016","tonnes","32000"
"QC","Crops","2","Afghanistan","5510","Production","723","Spices nes","2016","2016","tonnes","6"
"QC","Crops","2","Afghanistan","5510","Production","157","Sugar beet","2016","2016","tonnes","1582"
"QC","Crops","2","Afghanistan","5510","Production","156","Sugar cane","2016","2016","tonnes","17364"
"QC","Crops","2","Afghanistan","5510","Production","267","Sunflower seed","2016","2016","tonnes","758"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2016","2016","tonnes","1283848"
"QC","Crops","2","Afghanistan","5510","Production","222","Walnuts, with shell","2016","2016","tonnes","6515"
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2016","2016","tonnes","862341"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2016","2016","tonnes","4555110"
"QC","Crops","3","Albania","5510","Production","515","Apples","2016","2016","tonnes","101532"
"QC","Crops","3","Albania","5510","Production","526","Apricots","2016","2016","tonnes","5194"
"QC","Crops","3","Albania","5510","Production","44","Barley","2016","2016","tonnes","9000"
"QC","Crops","3","Albania","5510","Production","176","Beans, dry","2016","2016","tonnes","24860"
"QC","Crops","3","Albania","5510","Production","414","Beans, green","2016","2016","tonnes","11348"
"QC","Crops","3","Albania","5510","Production","181","Broad beans, horse beans, dry","2016","2016","tonnes","207"
"QC","Crops","3","Albania","5510","Production","358","Cabbages and other brassicas","2016","2016","tonnes","56655"
"QC","Crops","3","Albania","5510","Production","426","Carrots and turnips","2016","2016","tonnes","14858"
"QC","Crops","3","Albania","5510","Production","393","Cauliflowers and broccoli","2016","2016","tonnes","5891"
"QC","Crops","3","Albania","5510","Production","531","Cherries","2016","2016","tonnes","19261"
"QC","Crops","3","Albania","5510","Production","530","Cherries, sour","2016","2016","tonnes","17930"
"QC","Crops","3","Albania","5510","Production","220","Chestnut","2016","2016","tonnes","6040"
"QC","Crops","3","Albania","5510","Production","401","Chillies and peppers, green","2016","2016","tonnes","76810"
"QC","Crops","3","Albania","5510","Production","767","Cotton lint","2016","2016","tonnes","270"
"QC","Crops","3","Albania","5510","Production","329","Cottonseed","2016","2016","tonnes","540"
"QC","Crops","3","Albania","5510","Production","397","Cucumbers and gherkins","2016","2016","tonnes","94279"
"QC","Crops","3","Albania","5510","Production","577","Dates","2016","2016","tonnes","14106"
"QC","Crops","3","Albania","5510","Production","399","Eggplants (aubergines)","2016","2016","tonnes","31896"
"QC","Crops","3","Albania","5510","Production","569","Figs","2016","2016","tonnes","20902"
