Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"GP","Manure left on Pasture","2","Afghanistan","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","2530673"
"GP","Manure left on Pasture","2","Afghanistan","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0014"
"GP","Manure left on Pasture","2","Afghanistan","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0013"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","406934.1164"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","122080.2349"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","81386.8233"
"GP","Manure left on Pasture","2","Afghanistan","72290","Implied emission factor for N2O (Manure on pasture)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.0242"
"GP","Manure left on Pasture","2","Afghanistan","72340","Direct emissions (N2O) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0128"
"GP","Manure left on Pasture","2","Afghanistan","72350","Direct emissions (CO2eq) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","3.9647"
"GP","Manure left on Pasture","2","Afghanistan","72360","Indirect emissions (N2O) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0027"
"GP","Manure left on Pasture","2","Afghanistan","72370","Indirect emissions (CO2eq) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.8425"
"GP","Manure left on Pasture","2","Afghanistan","72300","Emissions (N2O) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0155"
"GP","Manure left on Pasture","2","Afghanistan","72310","Emissions (CO2eq) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","4.8072"
"GP","Manure left on Pasture","3","Albania","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","2844000"
"GP","Manure left on Pasture","3","Albania","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0001"
"GP","Manure left on Pasture","3","Albania","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0001"
"GP","Manure left on Pasture","3","Albania","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","20553.588"
"GP","Manure left on Pasture","3","Albania","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","6166.0764"
"GP","Manure left on Pasture","3","Albania","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","4110.7176"
"GP","Manure left on Pasture","3","Albania","72290","Implied emission factor for N2O (Manure on pasture)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.0243"
"GP","Manure left on Pasture","3","Albania","72340","Direct emissions (N2O) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0006"
"GP","Manure left on Pasture","3","Albania","72350","Direct emissions (CO2eq) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.2003"
"GP","Manure left on Pasture","3","Albania","72360","Indirect emissions (N2O) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0001"
"GP","Manure left on Pasture","3","Albania","72370","Indirect emissions (CO2eq) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0426"
"GP","Manure left on Pasture","3","Albania","72300","Emissions (N2O) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.0008"
"GP","Manure left on Pasture","3","Albania","72310","Emissions (CO2eq) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.2428"
"GP","Manure left on Pasture","4","Algeria","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","110630486"
"GP","Manure left on Pasture","4","Algeria","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.1145"
"GP","Manure left on Pasture","4","Algeria","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","1053","Chickens, broilers","2016","2016","gigagrams","0.1018"
"GP","Manure left on Pasture","4","Algeria","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","32380824.154"
"GP","Manure left on Pasture","4","Algeria","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","9714247.2462"
"GP","Manure left on Pasture","4","Algeria","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","6476164.8308"
