country,iso3c,year,fao_tonnes_production,salmon_edible_wt_tonnes,protein_tonnes,kcal
Australia,AUS,2016,56115.19,28057.595,5566.626848,39841784900
Canada,CAN,2016,123522,61761,12253.3824,87700620000
Chile,CHL,2016,642701,321350.5,63755.9392,456317710000
Faroe Islands,FRO,2016,83300,41650,8263.36,59143000000
Ireland,IRL,2016,16300,8150,1616.96,11573000000
Japan,JPN,2016,13208,6604,1310.2336,9377680000
New Zealand,NZL,2016,11451,5725.5,1135.9392,8130210000
Norway,NOR,2016,1233619.2,616809.6,122375.02463999999,875869632000
Russian Federation,RUS,2016,12857,6428.5,1275.4144,9128470000
United Kingdom,GBR,2016,163131.52,81565.76,16182.646783999999,115823379200
United States of America,USA,2016,16185,8092.5,1605.552,11491350000
