ID_0,source,subsource,animal_system,type,type2,stressor,value,location,iso3c,Country,land_area_km2,eez_area_km2
1,feedfofm,land,chickens,industrial,meat,disturbance,0,marine,AFG,Afghanistan,643859.325132383,NA
1,feedfofm,land,chickens,industrial,meat,ghg,0,marine,AFG,Afghanistan,643859.325132383,NA
1,feedfofm,land,chickens,industrial,meat,nutrient,0,marine,AFG,Afghanistan,643859.325132383,NA
1,feedfofm,land,chickens,industrial,meat,water,0,marine,AFG,Afghanistan,643859.325132383,NA
1,feedfofm,marine,salmon,aquaculture,meat,disturbance,0,marine,AFG,Afghanistan,643859.325132383,NA
1,feedfofm,marine,salmon,aquaculture,meat,ghg,0,marine,AFG,Afghanistan,643859.325132383,NA
1,feedfofm,marine,salmon,aquaculture,meat,nutrient,0,marine,AFG,Afghanistan,643859.325132383,NA
1,feedfofm,marine,salmon,aquaculture,meat,water,0,marine,AFG,Afghanistan,643859.325132383,NA
1,farm,marine,salmon,aquaculture,meat,disturbance,0,marine,AFG,Afghanistan,643859.325132383,NA
1,farm,marine,salmon,aquaculture,meat,ghg,0,marine,AFG,Afghanistan,643859.325132383,NA
1,farm,marine,salmon,aquaculture,meat,nutrient,0,marine,AFG,Afghanistan,643859.325132383,NA
1,farm,marine,salmon,aquaculture,meat,water,0,marine,AFG,Afghanistan,643859.325132383,NA
2,feedfofm,land,chickens,industrial,meat,disturbance,0,marine,NA,NA,NA,NA
2,feedfofm,land,chickens,industrial,meat,ghg,0,marine,NA,NA,NA,NA
2,feedfofm,land,chickens,industrial,meat,nutrient,0,marine,NA,NA,NA,NA
2,feedfofm,land,chickens,industrial,meat,water,0,marine,NA,NA,NA,NA
2,feedfofm,marine,salmon,aquaculture,meat,disturbance,0,marine,NA,NA,NA,NA
2,feedfofm,marine,salmon,aquaculture,meat,ghg,0,marine,NA,NA,NA,NA
2,feedfofm,marine,salmon,aquaculture,meat,nutrient,0,marine,NA,NA,NA,NA
2,feedfofm,marine,salmon,aquaculture,meat,water,0,marine,NA,NA,NA,NA
2,farm,marine,salmon,aquaculture,meat,disturbance,0,marine,NA,NA,NA,NA
2,farm,marine,salmon,aquaculture,meat,ghg,0,marine,NA,NA,NA,NA
2,farm,marine,salmon,aquaculture,meat,nutrient,0,marine,NA,NA,NA,NA
2,farm,marine,salmon,aquaculture,meat,water,0,marine,NA,NA,NA,NA
3,feedfofm,land,chickens,industrial,meat,disturbance,0.012765247374773026,marine,ALA,Åland,1506.31201197467,NA
3,feedfofm,land,chickens,industrial,meat,ghg,0.7776721119880676,marine,ALA,Åland,1506.31201197467,NA
3,feedfofm,land,chickens,industrial,meat,nutrient,0,marine,ALA,Åland,1506.31201197467,NA
3,feedfofm,land,chickens,industrial,meat,water,0,marine,ALA,Åland,1506.31201197467,NA
3,feedfofm,marine,salmon,aquaculture,meat,disturbance,0.4278552830219269,marine,ALA,Åland,1506.31201197467,NA
3,feedfofm,marine,salmon,aquaculture,meat,ghg,26.323362350463867,marine,ALA,Åland,1506.31201197467,NA
3,feedfofm,marine,salmon,aquaculture,meat,nutrient,0,marine,ALA,Åland,1506.31201197467,NA
3,feedfofm,marine,salmon,aquaculture,meat,water,0,marine,ALA,Åland,1506.31201197467,NA
3,farm,marine,salmon,aquaculture,meat,disturbance,0,marine,ALA,Åland,1506.31201197467,NA
3,farm,marine,salmon,aquaculture,meat,ghg,0,marine,ALA,Åland,1506.31201197467,NA
3,farm,marine,salmon,aquaculture,meat,nutrient,0,marine,ALA,Åland,1506.31201197467,NA
3,farm,marine,salmon,aquaculture,meat,water,0,marine,ALA,Åland,1506.31201197467,NA
4,feedfofm,land,chickens,industrial,meat,disturbance,0.1601333814796817,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,feedfofm,land,chickens,industrial,meat,ghg,5.090169397139107,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,feedfofm,land,chickens,industrial,meat,nutrient,0,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,feedfofm,land,chickens,industrial,meat,water,0,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,feedfofm,marine,salmon,aquaculture,meat,disturbance,1.4519670620938996,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,feedfofm,marine,salmon,aquaculture,meat,ghg,49.60959727689624,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,feedfofm,marine,salmon,aquaculture,meat,nutrient,0,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,feedfofm,marine,salmon,aquaculture,meat,water,0,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,farm,marine,salmon,aquaculture,meat,disturbance,0,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,farm,marine,salmon,aquaculture,meat,ghg,0,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,farm,marine,salmon,aquaculture,meat,nutrient,0,marine,ALB,Albania,28735.4275931828,12165.4669424536
4,farm,marine,salmon,aquaculture,meat,water,0,marine,ALB,Albania,28735.4275931828,12165.4669424536
5,feedfofm,land,chickens,industrial,meat,disturbance,2.814052366604983,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,feedfofm,land,chickens,industrial,meat,ghg,91.5710885081935,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,feedfofm,land,chickens,industrial,meat,nutrient,0,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,feedfofm,land,chickens,industrial,meat,water,0,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,feedfofm,marine,salmon,aquaculture,meat,disturbance,31.00104119232492,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,feedfofm,marine,salmon,aquaculture,meat,ghg,1019.5739241287229,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,feedfofm,marine,salmon,aquaculture,meat,nutrient,0,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,feedfofm,marine,salmon,aquaculture,meat,water,0,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,farm,marine,salmon,aquaculture,meat,disturbance,0,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,farm,marine,salmon,aquaculture,meat,ghg,0,marine,DZA,Algeria,2308049.82340796,131193.096197819
5,farm,marine,salmon,aquaculture,meat,nutrient,0,marine,DZA,Algeria,2308049.82340796,131193.096197819
