"","animal_system","iso3c","Country","country_farm_feed_chi","broiler_slaughter_wt_tonnes","cpi_prod"
"1","chickens","ABW","Aruba",0,0,NA
"2","chickens","AFG","Afghanistan",0.0000501037660835068,12167.5825226162,0.00000000411780778888309
"3","chickens","AGO","Angola",0.000485190283752918,49685.3085458948,0.00000000976526659394181
"4","chickens","AIA","Anguilla",0.00000646225132493967,2037.80129733344,0.00000000317118814940193
"5","chickens","ALA","Åland",0.000000402141208424695,37.8920075805525,0.0000000106128240254836
"6","chickens","ALB","Albania",0.000322439449195239,12304.7702822464,0.0000000262044265597109
"7","chickens","AND","Andorra",0.0000000416302425763084,4.58300703302602,0.00000000908360870413529
"8","chickens","ARE","United Arab Emirates",0.000685613056173588,59872.6258989301,0.0000000114511940286528
"9","chickens","ARG","Argentina",0.00710106920987411,2661400.91326076,0.00000000266816967503549
"10","chickens","ARM","Armenia",0.000170749891319929,3463.08123664961,0.0000000493057712631432
"11","chickens","ASM","American Samoa",0.00000116874321503464,154.109437193594,0.00000000758385233453581
"12","chickens","ATG","Antigua and Barbuda",0.00000500045566984483,34.2482591128677,0.00000014600612700825
"13","chickens","AUS","Australia",0.0051157600067021,1566864.29155021,0.00000000326496687319405
"14","chickens","AUT","Austria",0.000835932581320451,151164.660564393,0.00000000552994713314203
"15","chickens","AZE","Azerbaijan",0.00120620345111297,113120.987767423,0.0000000106629501290506
"16","chickens","BDI","Burundi",0.00000730993379114056,4367.96450880493,0.00000000167353323874432
"17","chickens","BEL","Belgium",0.00166658432278928,587929.523884089,0.00000000283466683520022
"18","chickens","BEN","Benin",0.0000657568035742146,13732.9416395768,0.00000000478825333275361
"19","chickens","BES","Bonaire, Sint Eustatius and Saba",0.00000280897739743552,418.230453784626,0.0000000067163387362558
"20","chickens","BFA","Burkina Faso",0.0000326409193293575,9966.26948856564,0.00000000327513914477294
"21","chickens","BGD","Bangladesh",0.00291011620931014,163120.604545946,0.0000000178402735657497
"22","chickens","BGR","Bulgaria",0.000565015690174167,102552.431765301,0.0000000055095299101951
"23","chickens","BHR","Bahrain",0.0000193819412671342,8820.78431439105,0.00000000219730361567879
"24","chickens","BHS","Bahamas",0.000068441503164679,8316.29044203542,0.00000000822981155380714
"25","chickens","BIH","Bosnia and Herzegovina",0.000543911583668941,71782.6815821158,0.00000000757719789343246
"26","chickens","BLM","Saint-Barthélemy",0,0,NA
"27","chickens","BLR","Belarus",0.00260684368102263,561138.252797607,0.00000000464563531006125
"28","chickens","BLZ","Belize",0.0000867824743837166,25002.9773084478,0.00000000347088561946562
"29","chickens","BMU","Bermuda",0,99.6013385787894,0
