"","animal_system","iso3c","Country","country_farm_feed_chi","fao_tonnes_production","cpi_prod"
"1","salmon","ABW","Aruba",0,NA,NA
"2","salmon","AFG","Afghanistan",0,NA,NA
"3","salmon","AGO","Angola",0,NA,NA
"4","salmon","AIA","Anguilla",0,NA,NA
"5","salmon","ALA","Åland",0.00000366371545475723,NA,NA
"6","salmon","ALB","Albania",0,NA,NA
"7","salmon","AND","Andorra",0,NA,NA
"8","salmon","ARE","United Arab Emirates",0,NA,NA
"9","salmon","ARG","Argentina",0.0000287948737051436,NA,NA
"10","salmon","ARM","Armenia",0,NA,NA
"11","salmon","ASM","American Samoa",0,NA,NA
"12","salmon","ATG","Antigua and Barbuda",0,NA,NA
"13","salmon","AUS","Australia",0.00101795481117736,56115.19,0.0000000181404502270661
"14","salmon","AUT","Austria",0,NA,NA
"15","salmon","AZE","Azerbaijan",0,NA,NA
"16","salmon","BDI","Burundi",0,NA,NA
"17","salmon","BEL","Belgium",0,NA,NA
"18","salmon","BEN","Benin",0,NA,NA
"19","salmon","BES","Bonaire, Sint Eustatius and Saba",0,NA,NA
"20","salmon","BFA","Burkina Faso",0,NA,NA
"21","salmon","BGD","Bangladesh",0,NA,NA
"22","salmon","BGR","Bulgaria",0,NA,NA
"23","salmon","BHR","Bahrain",0,NA,NA
"24","salmon","BHS","Bahamas",0,NA,NA
"25","salmon","BIH","Bosnia and Herzegovina",0,NA,NA
"26","salmon","BLM","Saint-Barthélemy",0,NA,NA
"27","salmon","BLR","Belarus",0,NA,NA
"28","salmon","BLZ","Belize",0,NA,NA
"29","salmon","BMU","Bermuda",0,NA,NA
"30","salmon","BOL","Bolivia",0,NA,NA
"31","salmon","BRA","Brazil",0,NA,NA
"32","salmon","BRB","Barbados",0,NA,NA
"33","salmon","BRN","Brunei",0,NA,NA
"34","salmon","BTN","Bhutan",0,NA,NA
"35","salmon","BWA","Botswana",0,NA,NA
"36","salmon","CAF","Central African Republic",0,NA,NA
"37","salmon","CAN","Canada",0.00286559512724327,123522,0.0000000231990667835954
"38","salmon","CCK","Cocos Islands",0,NA,NA
"39","salmon","CHE","Switzerland",0,NA,NA
"40","salmon","CHL","Chile",0.0172035102410217,642701,0.000000026767517463053
"41","salmon","CHN","China",0,NA,NA
"42","salmon","CIV","Côte d'Ivoire",0,NA,NA
"43","salmon","CMR","Cameroon",0,NA,NA
"44","salmon","COD","Democratic Republic of the Congo",0,NA,NA
"45","salmon","COG","Republic of Congo",0,NA,NA
"46","salmon","COK","Cook Islands",0,NA,NA
"47","salmon","COL","Colombia",0,NA,NA
"48","salmon","COM","Comoros",0,NA,NA
"49","salmon","CPV","Cape Verde",0,NA,NA
"50","salmon","CRI","Costa Rica",0,NA,NA
"51","salmon","CUB","Cuba",0,NA,NA
"52","salmon","CUW","Curaçao",0,NA,NA
"53","salmon","CXR","Christmas Island",0,NA,NA
"54","salmon","CYM","Cayman Islands",0,NA,NA
"55","salmon","CYP","Cyprus",0,NA,NA
"56","salmon","CZE","Czech Republic",0,NA,NA
"57","salmon","DEU","Germany",0,NA,NA
"58","salmon","DJI","Djibouti",0,NA,NA
"59","salmon","DMA","Dominica",0,NA,NA
"60","salmon","DNK","Denmark",0.000257086926383942,NA,NA
"61","salmon","DOM","Dominican Republic",0,NA,NA
"62","salmon","DZA","Algeria",0,NA,NA
"63","salmon","ECU","Ecuador",0,NA,NA
"64","salmon","EGY","Egypt",0,NA,NA
"65","salmon","ERI","Eritrea",0,NA,NA
"66","salmon","ESH","Western Sahara",0,NA,NA
"67","salmon","ESP","Spain",0,NA,NA
"68","salmon","EST","Estonia",0,NA,NA
"69","salmon","ETH","Ethiopia",0,NA,NA
"70","salmon","FIN","Finland",0.000238196412236635,NA,NA
"71","salmon","FJI","Fiji",0,NA,NA
"72","salmon","FLK","Falkland Islands",0,NA,NA
"73","salmon","FRA","France",0,NA,NA
"74","salmon","FRO","Faroe Islands",0.00185467092667775,83300,0.0000000222649571029742
"75","salmon","FSM","Micronesia",0,NA,NA
"76","salmon","GAB","Gabon",0,NA,NA
"77","salmon","GBR","United Kingdom",0.00368474691291617,163131.52,0.0000000225875840114539
"78","salmon","GEO","Georgia",0,NA,NA
"79","salmon","GGY","Guernsey",0,NA,NA
"80","salmon","GHA","Ghana",0,NA,NA
"81","salmon","GIB","Gibraltar",0,NA,NA
"82","salmon","GIN","Guinea",0,NA,NA
"83","salmon","GLP","Guadeloupe",0,NA,NA
"84","salmon","GMB","Gambia",0,NA,NA
"85","salmon","GNB","Guinea-Bissau",0,NA,NA
"86","salmon","GNQ","Equatorial Guinea",0,NA,NA
"87","salmon","GRC","Greece",0.0000127602395011853,NA,NA
"88","salmon","GRD","Grenada",0,NA,NA
"89","salmon","GRL","Greenland",0,NA,NA
"90","salmon","GTM","Guatemala",0,NA,NA
"91","salmon","GUF","French Guiana",0,NA,NA
"92","salmon","GUM","Guam",0,NA,NA
"93","salmon","GUY","Guyana",0,NA,NA
"94","salmon","HKG","Hong Kong",0,NA,NA
"95","salmon","HND","Honduras",0,NA,NA
"96","salmon","HRV","Croatia",0,NA,NA
"97","salmon","HTI","Haiti",0,NA,NA
"98","salmon","HUN","Hungary",0,NA,NA
"99","salmon","IDN","Indonesia",0,NA,NA
"100","salmon","IMN","Isle of Man",0,NA,NA
"101","salmon","IND","India",0,NA,NA
