"","iso3c","ncells","broiler_cells","salmon_cells","prop_broiler","X","Country","salmon_cpi","chicken_cpi","broiler_cpi_cell","salmon_cpi_cell","broiler_count","broiler_slaughter_wt_tonnes","broiler_carcass_wt_tonnes","broiler_protein_tonnes","broiler_kcal","year","fao_tonnes_production","salmon_edible_wt_tonnes","salmon_protein_tonnes","salmon_kcal"
"1","ABW",319,121,121,0.379310344827586,1,"Aruba",4.04397893387083e-06,4.56151313268997e-05,3.76984556420659e-07,3.34213135030647e-08,0,0,0,0,0,NA,NA,NA,NA,NA
"2","AFG",11131,10573,8016,0.949869733177612,2,"Afghanistan",1.26185572393286e-06,0.000752715460146573,7.11922311686913e-08,1.57417131229149e-10,2530673,12167.5825226162,8882.33524150984,1652.11435492083,19097020769.2462,NA,NA,NA,NA,NA
"3","AGO",32536,29852,13202,0.917506761740841,3,"Angola",0.00054050866182982,0.00365732218685964,1.22515147623598e-07,4.09414226503424e-08,34800000,49685.3085458948,36270.2752385032,6746.2711943616,77981091762.7819,NA,NA,NA,NA,NA
"4","AIA",1885,311,311,0.16498673740053,4,"Anguilla",1.06125992426877e-06,5.64762191706661e-06,1.81595560034296e-08,3.41241133205392e-09,419687.311522765,2037.80129733344,1487.59494705341,276.692660151934,3198329136.16483,NA,NA,NA,NA,NA
"5","ALA",1,0,0,0,5,"Åland",5.33861226092878e-07,2.08970712205028e-06,Inf,Inf,7803.89864825972,37.8920075805525,27.6611655338033,5.14497678928742,59471505.8976771,NA,NA,NA,NA,NA
"6","ALB",642,609,609,0.948598130841122,6,"Albania",1.85403111238122e-06,0.000796630481572745,1.30809602885508e-06,3.04438606302335e-09,2844000,12304.7702822464,8982.48230603986,1670.74170892341,19312336957.9857,NA,NA,NA,NA,NA
"7","AND",1,0,0,0,7,"Andorra",4.8917583438652e-07,8.05854825442963e-06,Inf,Inf,943.875098567028,4.58300703302602,3.34559513410899,0.622280694944273,7193029.53833434,NA,NA,NA,NA,NA
"8","ARE",1571,1483,1052,0.943984723106302,8,"United Arab Emirates",7.39759593600167e-05,0.00110347511674038,7.44083018705583e-07,7.03193530038182e-08,18803863,59872.6258989301,43707.0169062189,8129.50514455672,93970086348.3707,NA,NA,NA,NA,NA
"9","ARG",68061,61040,44433,0.896842538311221,9,"Argentina",0.00253280446308371,0.11511767798852,1.88593836809502e-06,5.7002778634882e-08,6.8e+07,2661400.91326076,1942822.66668036,361365.016002546,4177068733362.77,NA,NA,NA,NA,NA
"10","ARM",452,429,419,0.949115044247788,10,"Armenia",5.3521622280985e-06,0.000189507513095405,4.41742454767844e-07,1.27736568689702e-08,1210800,3463.08123664961,2528.04930275421,470.217170312284,5435306000.92156,NA,NA,NA,NA,NA
