"","iso3c","Country","ncells","broiler_cells","salmon_cells","prop_broiler","X","salmon_cpi","variance_chi","chicken_cpi","broiler_cpi_cell","salmon_cpi_cell","broiler_count","broiler_slaughter_wt_tonnes","broiler_carcass_wt_tonnes","protein_tonnes.x","kcal.x","year","fao_tonnes_production","salmon_edible_wt_tonnes","protein_tonnes.y","kcal.y"
"1","ABW","Aruba",303,110,110,0.363036303630363,1,0.000000560470840423246,0.0000000000000225438994242006,NA,NA,0.00000000509518945839315,0,0,0,0,0,NA,NA,NA,NA,NA
"2","AFG","Afghanistan",11317,11021,8212,0.973844658478395,2,0.00000154523844312935,0.000000000000113578270879073,NA,NA,0.000000000188168344268065,2530673,12167.5825226162,8882.33524150984,1652.11435492083,19097020769.2462,NA,NA,NA,NA,NA
"3","AGO","Angola",31926,29178,12715,0.913925953768089,3,0.00049517305806046,0.0000000144108617373678,NA,NA,0.0000000389440077121872,34800000,49685.3085458948,36270.2752385032,6746.2711943616,77981091762.7819,NA,NA,NA,NA,NA
"4","AIA","Anguilla",1864,325,325,0.174356223175966,4,0.000000040331547038126,0.00000000000000010078609244817,NA,NA,0.000000000124097067809618,419687.311522765,2037.80129733344,1487.59494705341,276.692660151934,3198329136.16483,NA,NA,NA,NA,NA
"5","ALA","Åland",1,0,0,0,5,0.0000132420349578708,0.00000000000509405164937706,NA,NA,Inf,7803.89864825972,37.8920075805525,27.6611655338033,5.14497678928742,59471505.8976771,NA,NA,NA,NA,NA
"6","ALB","Albania",614,613,610,0.998371335504886,6,0.00000206197837463671,0.000000000000222311857500275,NA,NA,0.00000000338029241743723,2844000,12304.7702822464,8982.48230603986,1670.74170892341,19312336957.9857,NA,NA,NA,NA,NA
"7","AND","Andorra",1,0,0,0,7,0,0,NA,NA,NA,943.875098567028,4.58300703302602,3.34559513410899,0.622280694944273,7193029.53833434,NA,NA,NA,NA,NA
"8","ARE","United Arab Emirates",1729,1729,1151,1,8,0.0000193540065176174,0.0000000000163605367217287,NA,NA,0.0000000168149491899369,18803863,59872.6258989301,43707.0169062189,8129.50514455672,93970086348.3707,NA,NA,NA,NA,NA
"9","ARG","Argentina",67266,60306,43986,0.896530193559896,9,0.00248103812146945,0.00000011121531090192,NA,NA,0.0000000564051771352123,68000000,2661400.91326076,1942822.66668036,361365.016002546,4177068733362.77,NA,NA,NA,NA,NA
"10","ARM","Armenia",425,413,392,0.971764705882353,10,0.0000000252507776407025,0.0000000000000000131219138303844,NA,NA,0.0000000000644152490834247,1210800,3463.08123664961,2528.04930275421,470.217170312284,5435306000.92156,NA,NA,NA,NA,NA
"11","ASM","American Samoa",6086,5389,5389,0.885474860335196,11,0.00000162313172204905,0.000000000000133554660365468,NA,NA,0.000000000301193490823724,31739,154.109437193594,112.499889151324,20.9249793821462,241874761.675346,NA,NA,NA,NA,NA
