iso3c,ID_0,Country,area_km2
ABW,14,Aruba,181.938402257482
AFG,1,Afghanistan,643859.325132383
AGO,8,Angola,1247425.8111619
AIA,9,Anguilla,83.3033086456851
ALA,3,Åland,1506.31201197467
ALB,4,Albania,28735.4275931828
AND,7,Andorra,451.950818308493
ARE,241,United Arab Emirates,71196.7841345779
ARG,12,Argentina,2780096.60975071
ARM,13,Armenia,29690.1634987487
ASM,6,American Samoa,223.402738698485
ATG,11,Antigua and Barbuda,435.809947864644
AUS,15,Australia,7688039.74386941
AUT,16,Austria,83858.2385140754
AZE,17,Azerbaijan,86235.4786678097
BDI,39,Burundi,26935.2915300064
BEL,23,Belgium,30707.4659415246
BEN,25,Benin,115423.190270991
BES,29,"Bonaire, Sint Eustatius and Saba",323.6942016457
BFA,38,Burkina Faso,273417.490724208
BGD,20,Bangladesh,139384.446115717
BGR,37,Bulgaria,111587.671176025
BHR,19,Bahrain,715.125482328063
BHS,18,Bahamas,13388.079913293
BIH,30,Bosnia and Herzegovina,51068.8531329539
BLM,190,Saint-Barthélemy,24.7077716519849
BLR,22,Belarus,207069.808329688
BLZ,24,Belize,21989.4489925153
BMU,26,Bermuda,68.062742122349
BOL,28,Bolivia,1083392.99216273
BRA,33,Brazil,8500365.47480343
BRB,21,Barbados,434.63964132333
BRN,36,Brunei,5777.79929336346
BTN,27,Bhutan,38762.9893948223
BWA,31,Botswana,577870.823012641
CAF,46,Central African Republic,620199.666918883
CAN,42,Canada,9949462.69739463
CCK,52,Cocos Islands,13.7097440829807
CHE,223,Switzerland,41245.7117490412
CHL,48,Chile,757580.311341943
CHN,49,China,9382251.39895417
CIV,57,Côte d'Ivoire,321658.072097766
CMR,41,Cameroon,466040.037678292
COD,301,Democratic Republic of the Congo,2329130.05727997
COG,185,Republic of Congo,341732.187075783
COK,55,Cook Islands,261.315220056178
COL,53,Colombia,1136758.82137939
COM,54,Comoros,1673.14999276084
CPV,43,Cape Verde,4090.95249179302
CRI,56,Costa Rica,51176.8032125601
CUB,59,Cuba,110730.653758233
CUW,60,Curaçao,437.711431202037
CXR,50,Christmas Island,139.610344560719
CYM,45,Cayman Islands,280.407608616865
CYP,61,Cyprus,9268.07768014394
CZE,62,Czech Republic,78835.7854129558
DEU,86,Germany,357839.351149247
DJI,65,Djibouti,21863.4493050464
DMA,66,Dominica,754.21429490331
DNK,64,Denmark,43144.8468631813
DOM,67,Dominican Republic,48092.0923404471
DZA,5,Algeria,2308049.82340796
ECU,68,Ecuador,256115.619269998
EGY,69,Egypt,983764.184427931
ERI,72,Eritrea,120457.414006378
ESH,253,Western Sahara,267334.879141047
ESP,215,Spain,506043.758595279
EST,73,Estonia,45489.8873314049
ETH,74,Ethiopia,1129520.77883003
FIN,78,Finland,336940.101854587
FJI,77,Fiji,18963.4827564026
FLK,75,Falkland Islands,12397.37233939
FRA,79,France,549516.218841441
FRO,76,Faroe Islands,1439.61445163792
FSM,146,Micronesia,774.856642634266
GAB,83,Gabon,264549.836282015
GBR,242,United Kingdom,245485.839946286
GEO,85,Georgia,69844.6112481634
GGY,95,Guernsey,88.4512855333347
GHA,87,Ghana,238324.271201869
GIB,88,Gibraltar,7.20813385696157
GIN,96,Guinea,244816.173984723
GLP,92,Guadeloupe,1650.23696400095
GMB,84,Gambia,10670.5052338629
GNB,97,Guinea-Bissau,33882.2791146663
GNQ,71,Equatorial Guinea,26959.4124757425
GRC,89,Greece,132574.802227096
GRD,91,Grenada,359.530960015627
GRL,90,Greenland,2150881.29352771
GTM,94,Guatemala,109152.810299282
GUF,80,French Guiana,83300.9490805371
GUM,93,Guam,549.794318575634
GUY,98,Guyana,209744.065645311
HKG,102,Hong Kong,1129.28000052885
HND,101,Honduras,112289.741066829
HRV,58,Croatia,57078.5757264721
HTI,99,Haiti,27106.7497583897
HUN,103,Hungary,93052.8725453836
IDN,106,Indonesia,1890244.78599706
IMN,110,Isle of Man,579.672896196578
IND,105,India,3152800.02893004
IOT,34,British Indian Ocean Territory,64.4476730814366
IRL,109,Ireland,70366.7663220167
IRN,107,Iran,1621740.73493403
IRQ,108,Iraq,445148.416564258
ISL,104,Iceland,102224.49421663
ISR,111,Israel,22158.6505634676
ITA,112,Italy,300755.063299467
JAM,113,Jamaica,11000.0339440254
JEY,115,Jersey,125.156212405341
JOR,116,Jordan,89111.8517659027
JPN,114,Japan,372468.10428078
KAZ,117,Kazakhstan,2730536.25578668
KEN,118,Kenya,585983.75946418
KGZ,122,Kyrgyzstan,198649.349426594
KHM,40,Cambodia,181359.619635686
KIR,119,Kiribati,1012.08208605666
KNA,193,Saint Kitts and Nevis,267.120721574779
KOR,213,South Korea,100229.230049451
KWT,121,Kuwait,17388.748595073
LAO,123,Laos,230001.632104546
LBN,125,Lebanon,10238.058037916
LBR,127,Liberia,95918.0884180497
LBY,128,Libya,1616054.24783048
LCA,194,Saint Lucia,614.429767040162
LIE,129,Liechtenstein,162.03916607918
LKA,217,Sri Lanka,65837.4026439717
LSO,126,Lesotho,30545.2749297225
LTU,130,Lithuania,65016.8398612611
LUX,131,Luxembourg,2581.55428554129
LVA,124,Latvia,64710.1019590643
MAC,132,Macao,34.1286828292801
MAF,191,Saint-Martin,56.1677259301802
MAR,152,Morocco,413473.604230439
MCO,148,Monaco,2.35490994943279
MDA,147,Moldova,33907.8690166904
MDG,134,Madagascar,591446.365508106
MDV,137,Maldives,299.684623608685
MEX,145,Mexico,1952023.20345292
MHL,140,Marshall Islands,300.282759361889
MKD,133,Macedonia,24825.1106194496
MLI,138,Mali,1251194.07277221
MLT,139,Malta,323.367769410494
MMR,154,Myanmar,669297.405498903
MNE,150,Montenegro,13335.3297408989
MNG,149,Mongolia,1566250.24133943
MNP,168,Northern Mariana Islands,504.131939337849
MOZ,153,Mozambique,787297.032909591
MRT,142,Mauritania,1041174.05228085
MSR,151,Montserrat,100.645472833054
MTQ,141,Martinique,1117.98247098344
MUS,143,Mauritius,2027.40992194349
MWI,135,Malawi,118028.709950911
MYS,136,Malaysia,329383.422050975
MYT,144,Mayotte,391.665898069975
NAM,155,Namibia,823862.935960394
NCL,159,New Caledonia,18827.0318776645
NER,162,Niger,1183670.73220446
NFK,165,Norfolk Island,40.6342421812784
NGA,163,Nigeria,908410.135994421
NIC,161,Nicaragua,128219.772316624
NIU,164,Niue,266.670097059801
NLD,158,Netherlands,37665.8117728856
NOR,169,Norway,325122.968582346
NPL,157,Nepal,147662.635486519
NRU,156,Nauru,22.1510579964023
NZL,160,New Zealand,268709.439912878
OMN,170,Oman,309325.131895414
PAK,171,Pakistan,874177.137598398
PAN,174,Panama,75103.8808361855
PCN,180,Pitcairn Islands,54.1939748150698
PER,178,Peru,1292816.49521308
PHL,179,Philippines,295856.808695422
PLW,172,Palau,487.506246312249
PNG,175,Papua New Guinea,463631.295982334
POL,181,Poland,312400.060062264
PRI,183,Puerto Rico,8970.47375675009
PRK,166,North Korea,122755.128422907
PRT,182,Portugal,91079.2236513672
PRY,177,Paraguay,399585.917921142
PSE,173,Palestina,6219.96144131247
PYF,81,French Polynesia,4053.38028725454
QAT,184,Qatar,11624.8453081708
REU,186,Reunion,2512.65207079869
ROU,187,Romania,238338.601461239
RUS,188,Russia,16925822.8201833
RWA,189,Rwanda,25277.6854334075
SAU,200,Saudi Arabia,1916192.40720274
SDN,218,Sudan,1872128.42592637
SEN,201,Senegal,196889.705211972
SGP,205,Singapore,697.024691693573
SHN,192,Saint Helena,411.227105779569
SJM,220,Svalbard and Jan Mayen,59943.6952365315
SLB,209,Solomon Islands,28532.8277218981
SLE,204,Sierra Leone,72601.1391831525
SLV,70,El Salvador,20422.7475738885
SMR,198,San Marino,61.215560734813
SOM,210,Somalia,633536.373089776
SPM,195,Saint Pierre and Miquelon,226.657035669095
SRB,202,Serbia,78231.6438315654
SSD,214,South Sudan,628102.111040798
STP,199,São Tomé and Príncipe,1002.23400121311
SUR,219,Suriname,146425.549839596
SVK,207,Slovakia,49099.2705163082
SVN,208,Slovenia,19980.9129874427
SWE,222,Sweden,450047.274489245
SWZ,221,Swaziland,17383.2579827568
SXM,206,Sint Maarten,38.0072016244307
SYC,203,Seychelles,491.200040837143
SYR,224,Syria,186917.563185058
TCA,237,Turks and Caicos Islands,991.451140485309
TCD,47,Chad,1269963.0212977
TGO,230,Togo,56995.3249347725
THA,228,Thailand,514054.559448484
TJK,226,Tajikistan,142113.217292121
TKL,231,Tokelau,15.6671415712663
TKM,236,Turkmenistan,489593.038220311
TLS,229,Timor-Leste,14915.4773136406
TON,232,Tonga,763.418087857254
TTO,233,Trinidad and Tobago,5159.13259494595
TUN,234,Tunisia,154863.579579804
TUR,235,Turkey,780704.35947309
TUV,238,Tuvalu,41.7255984770904
TWN,225,Taiwan,36406.3359593443
TZA,227,Tanzania,940576.054291058
UGA,239,Uganda,241440.068272202
UKR,240,Ukraine,601362.643666564
URY,245,Uruguay,177465.633943062
USA,243,United States,9473014.96754346
UZB,246,Uzbekistan,447555.524699968
VCT,196,Saint Vincent and the Grenadines,397.94539971906
VEN,249,Venezuela,912492.718800439
VGB,35,British Virgin Islands,169.356709735732
VIR,251,"Virgin Islands, U.S.",362.159805692792
VNM,250,Vietnam,329276.306464468
VUT,247,Vanuatu,12318.9856582074
WLF,252,Wallis and Futuna,155.740863743589
WSM,197,Samoa,2853.35946694588
XKO,120,Kosovo,10919.8013485226
XMI,300,Madeira Island,798.809504754971
YEM,254,Yemen,452238.143697629
ZAF,211,South Africa,1219709.07721422
ZMB,255,Zambia,750490.448387729
ZWE,256,Zimbabwe,390680.696799615
