Country,iso3c,ID_0,area_km2
Montserrat,MSR,151,7188.31064715124
Martinique,MTQ,141,47732.3058733712
Mauritius,MUS,143,1278181.83099143
Malaysia,MYS,136,510804.093629638
Mayotte,MYT,144,66738.0701943178
Namibia,NAM,155,562212.476721543
New Caledonia,NCL,159,1175971.26491529
Norfolk Island,NFK,165,430600.058634599
Nigeria,NGA,163,179048.2087827
Nicaragua,NIC,161,213813.390355285
Niue,NIU,164,318140.431333126
Netherlands,NLD,158,64328.1754684821
Norway,NOR,169,933179.137785457
Nauru,NRU,156,309260.791208204
New Zealand,NZL,160,4104550.79956849
Oman,OMN,170,556490.129118843
Pakistan,PAK,171,224373.798136886
Panama,PAN,174,331317.762204857
Pitcairn Islands,PCN,180,842291.177759189
Peru,PER,178,870795.320683498
Philippines,PHL,179,1971033.14637814
Palau,PLW,172,614807.454175469
Papua New Guinea,PNG,175,2403357.24825381
Poland,POL,181,29982.2745545331
Puerto Rico,PRI,183,172957.77808746
North Korea,PRK,166,114379.096718519
Portugal,PRT,182,1275921.83080478
Palestina,PSE,173,1120.12837020219
French Polynesia,PYF,81,4766688.97209617
Qatar,QAT,184,31488.4411786096
Reunion,REU,186,315151.244501368
Romania,ROU,187,29605.6384660016
Russia,RUS,188,7671763.43778306
Saudi Arabia,SAU,200,224219.19794432
Sudan,SDN,218,82560.7007126082
Senegal,SEN,201,221818.294962212
Singapore,SGP,205,714.106715740875
Saint Helena,SHN,192,1653388.07511142
Svalbard and Jan Mayen,SJM,220,1089943.62210261
Solomon Islands,SLB,209,1605322.5604892
Sierra Leone,SLE,204,160583.510675105
El Salvador,SLV,70,95098.6807798676
Somalia,SOM,210,781842.974391338
Saint Pierre and Miquelon,SPM,195,12414.0814918878
São Tomé and Príncipe,STP,199,165377.506878557
Suriname,SUR,219,133303.18746036
Slovenia,SVN,208,214.370643109007
Sweden,SWE,222,155346.473260073
Sint Maarten,SXM,206,465.981455636554
Seychelles,SYC,203,1341503.56528592
Syria,SYR,224,10269.4106914629
Turks and Caicos Islands,TCA,237,91025.2823704794
Togo,TGO,230,15447.0016418074
Thailand,THA,228,298687.814744501
Tokelau,TKL,231,320548.057932463
Timor-Leste,TLS,229,77473.8991115737
Tonga,TON,232,666052.04173587
Trinidad and Tobago,TTO,233,76561.6284066681
Tunisia,TUN,234,99698.3071392177
Turkey,TUR,235,262233.070693503
Tuvalu,TUV,238,753133.025897459
Taiwan,TWN,225,429227.403377126
Tanzania,TZA,227,241566.815015399
Ukraine,UKR,240,136198.090825408
Uruguay,URY,245,184512.809347195
United States,USA,243,10578338.8770051
Saint Vincent and the Grenadines,VCT,196,36243.8824975253
Venezuela,VEN,249,473659.545926643
British Virgin Islands,VGB,35,81555.3897435604
"Virgin Islands, U.S.",VIR,251,38274.6397543827
Vietnam,VNM,250,750957.837079448
Vanuatu,VUT,247,623424.432178116
Wallis and Futuna,WLF,252,262749.984080352
Samoa,WSM,197,130480.233521269
Madeira Island,XMI,300,452796.133611775
Yemen,YEM,254,527384.377939391
South Africa,ZAF,211,1547575.56197897
