Country,iso3c,ID_0,area_km2
Aruba,ABW,14,30014.6386064619
Angola,AGO,8,495866.073705684
Anguilla,AIA,9,90164.1201186914
Albania,ALB,4,12165.4669424536
United Arab Emirates,ARE,241,57846.8227290243
Argentina,ARG,12,1072052.76829738
American Samoa,ASM,6,405829.683302971
Antarctica,ATA,10,9618894.67658926
Antigua and Barbuda,ATG,11,111567.922330775
Australia,AUS,15,7764594.63859467
Belgium,BEL,23,3494.96137330171
Benin,BEN,25,35492.6362483578
"Bonaire, Sint Eustatius and Saba",BES,29,24667.611023219
Bangladesh,BGD,20,112165.843896084
Bulgaria,BGR,37,34744.9520967695
Bahrain,BHR,19,7515.88245281944
Bahamas,BHS,18,619785.069183327
Bosnia and Herzegovina,BIH,30,12.9797901594536
Saint-Barthélemy,BLM,190,4179.16793477124
Belize,BLZ,24,34311.9027363264
Bermuda,BMU,26,464389.167683483
Brazil,BRA,33,3677664.47861889
Barbados,BRB,21,185074.02844703
Brunei,BRN,36,43143.6103973427
Canada,CAN,42,5765316.57480761
Cocos Islands,CCK,52,467439.784883155
Chile,CHL,48,3668776.26207453
China,CHN,49,1302395.55638285
Côte d'Ivoire,CIV,57,171760.651502024
Cameroon,CMR,41,15142.5972778522
Democratic Republic of the Congo,COD,301,13373.2580979262
Republic of Congo,COG,185,33806.5151152914
Cook Islands,COK,55,1969553.15260542
Colombia,COL,53,728837.330020539
Comoros,COM,54,164475.850606046
Cape Verde,CPV,43,801936.208806719
Costa Rica,CRI,56,599062.787508304
Cuba,CUB,59,352252.962757824
Curaçao,CUW,60,25400.7392390545
Christmas Island,CXR,50,327994.267957877
Cayman Islands,CYM,45,118290.763580735
Cyprus,CYP,61,98449.9814539863
Germany,DEU,86,56762.5209947853
Djibouti,DJI,65,7223.43389147844
Dominica,DMA,66,28580.8983630733
Denmark,DNK,64,105019.470513178
Dominican Republic,DOM,67,363804.753900218
Algeria,DZA,5,131193.096197819
Ecuador,ECU,68,1096393.66697292
Egypt,EGY,69,243342.123336387
Eritrea,ERI,72,78354.8050309456
Western Sahara,ESH,253,284053.82128042
Spain,ESP,215,1007772.06487678
Estonia,EST,73,36450.9177049153
Finland,FIN,78,81553.969046701
Fiji,FJI,77,1284067.96246393
Falkland Islands,FLK,75,550565.771448802
France,FRA,79,3195303.72100754
Faroe Islands,FRO,76,266860.974163768
Micronesia,FSM,146,3010639.36646803
Gabon,GAB,83,201759.124981922
United Kingdom,GBR,242,1977150.1263714
Georgia,GEO,85,22944.0577556851
Guernsey,GGY,95,6530.51821373109
Ghana,GHA,87,227500.192457248
Gibraltar,GIB,88,388.281033028641
Guinea,GIN,96,102163.435954923
Guadeloupe,GLP,92,90732.0749263659
Gambia,GMB,84,23097.359261281
Guinea-Bissau,GNB,97,106870.166828561
Equatorial Guinea,GNQ,71,304132.989474719
Greece,GRC,89,482910.291869965
Grenada,GRD,91,25570.6701315111
Greenland,GRL,90,2268653.64259739
Guatemala,GTM,94,110695.032964834
French Guiana,GUF,80,131554.467468358
Guam,GUM,93,208238.842670869
Guyana,GUY,98,138671.333122854
Honduras,HND,101,210711.722757098
Croatia,HRV,58,55502.0604327054
High Seas,HS,500,NaN
Haiti,HTI,99,117375.592271183
Indonesia,IDN,106,6020906.91951758
India,IND,105,2323936.16353427
British Indian Ocean Territory,IOT,34,650805.014293555
Ireland,IRL,109,427037.015613905
Iran,IRN,107,157296.625327705
Iraq,IRQ,108,1187.46623070058
Iceland,ISL,104,808695.590556776
Israel,ISR,111,24628.0734145149
Italy,ITA,112,536656.704616866
Jamaica,JAM,113,272155.836936254
Jersey,JEY,115,2276.73417846104
Jordan,JOR,116,97.0836302231813
Japan,JPN,114,4281863.12434403
Kenya,KEN,118,164061.294196142
Cambodia,KHM,40,48696.547660631
Kiribati,KIR,119,3440220.02671806
Saint Kitts and Nevis,KNA,193,9501.68807823671
South Korea,KOR,213,430281.268875511
Kuwait,KWT,121,11178.6212373447
Lebanon,LBN,125,20183.8955799149
Liberia,LBR,127,251779.75352776
Libya,LBY,128,364523.651932039
Saint Lucia,LCA,194,15413.0647542024
Sri Lanka,LKA,217,533559.269480836
Lithuania,LTU,130,6832.46098595514
Latvia,LVA,124,28352.9148543763
Saint-Martin,MAF,191,1099.55366985844
Morocco,MAR,152,280452.208471026
Monaco,MCO,148,287.706321309589
Madagascar,MDG,134,1239790.93111274
Maldives,MDV,137,920737.736262254
Mexico,MEX,145,3187013.04130946
Marshall Islands,MHL,140,2001566.3590223
Malta,MLT,139,52923.00771643
Myanmar,MMR,154,497460.44937439
Montenegro,MNE,150,6383.19926368661
Northern Mariana Islands,MNP,168,763622.193196518
Mozambique,MOZ,153,566292.118349807
Mauritania,MRT,142,173179.536791948
