iso3c,country,system,cpi,tonnes_feed,cpi_per_tonne
ABW,Aruba,feed_land_chickens_industrial_meat,0,0,0
ABW,Aruba,feed_marine_salmon_aquaculture_meat,0,0,0
AFG,Afghanistan,feed_land_chickens_industrial_meat,1.9468906323175203e-4,11965.107891531932,1.6271400558747936e-8
AFG,Afghanistan,feed_marine_salmon_aquaculture_meat,3.445709527254859e-7,31.621952494883597,1.089657423213311e-8
AGO,Angola,feed_land_chickens_industrial_meat,8.215745027917149e-4,480929.6612284115,1.708304912392414e-9
AGO,Angola,feed_marine_salmon_aquaculture_meat,5.8280624323413104e-9,1.1089937135112529,5.255270937369631e-9
AIA,Anguilla,feed_land_chickens_industrial_meat,0,0,0
AIA,Anguilla,feed_marine_salmon_aquaculture_meat,0,0,0
ALA,Åland,feed_land_chickens_industrial_meat,3.575494046054785e-8,14.370433357347302,2.4880906213080274e-9
ALA,Åland,feed_marine_salmon_aquaculture_meat,0,0,0
ALB,Albania,feed_land_chickens_industrial_meat,1.3740391560509863e-4,43367.2293193366,3.1683812353636555e-9
ALB,Albania,feed_marine_salmon_aquaculture_meat,5.942247875838699e-8,40.84811953115865,1.4547176085562508e-9
AND,Andorra,feed_land_chickens_industrial_meat,0,0,0
AND,Andorra,feed_marine_salmon_aquaculture_meat,0,0,0
ARE,United Arab Emirates,feed_land_chickens_industrial_meat,1.4551623464471222e-5,27142.691931623274,5.361157066192646e-10
ARE,United Arab Emirates,feed_marine_salmon_aquaculture_meat,9.855919907499264e-10,0.15571099313917053,6.329623688605141e-9
ARG,Argentina,feed_land_chickens_industrial_meat,0.027036565383696778,31690199.74767846,8.531522552387006e-10
ARG,Argentina,feed_marine_salmon_aquaculture_meat,3.8836160965627836e-4,283849.3269836575,1.3681963377656277e-9
ARM,Armenia,feed_land_chickens_industrial_meat,1.3939540512654742e-5,6715.546535803605,2.0757119972792635e-9
ARM,Armenia,feed_marine_salmon_aquaculture_meat,5.752920461720532e-9,1.1035737211751606,5.212991530456551e-9
ASM,American Samoa,feed_land_chickens_industrial_meat,0,0,0
ASM,American Samoa,feed_marine_salmon_aquaculture_meat,0,0,0
ATG,Antigua and Barbuda,feed_land_chickens_industrial_meat,1.9150474569609495e-8,5.064292599475037,3.781470796453315e-9
ATG,Antigua and Barbuda,feed_marine_salmon_aquaculture_meat,3.137195080385713e-9,0.25925404859814877,1.2100852801911131e-8
AUS,Australia,feed_land_chickens_industrial_meat,0.013012003944797982,6327045.718463067,2.056568661552013e-9
