iso3c,country,system,fofm,cpi,tonnes_feed,cpi_per_tonne
ABW,Aruba,feed_land_chickens_industrial_meat,fofm,1.228416122396994e-8,1.3101698316828356,9.376006779359026e-9
ABW,Aruba,feed_marine_salmon_aquaculture_meat,fofm,1.5114472220788565e-7,16.12037265634016,9.376006710889544e-9
AFG,Afghanistan,feed_land_chickens_industrial_meat,fofm,0,0,0
AFG,Afghanistan,feed_marine_salmon_aquaculture_meat,fofm,0,0,0
AGO,Angola,feed_land_chickens_industrial_meat,fofm,7.709165204981531e-6,899.0365704113508,8.57491837229072e-9
AGO,Angola,feed_marine_salmon_aquaculture_meat,fofm,1.3427038709991807e-4,15672.370305558907,8.567331200200971e-9
AIA,Anguilla,feed_land_chickens_industrial_meat,fofm,3.951166214423769e-9,0.3332115020408287,1.1857832608490295e-8
AIA,Anguilla,feed_marine_salmon_aquaculture_meat,fofm,1.0979604765958065e-8,0.8908349114440037,1.2325072384243018e-8
ALA,Åland,feed_land_chickens_industrial_meat,fofm,8.962709394537005e-8,10.74747075391499,8.339366163217659e-9
ALA,Åland,feed_marine_salmon_aquaculture_meat,fofm,2.7770114734663487e-6,333.38941913722726,8.329632897927381e-9
ALB,Albania,feed_land_chickens_industrial_meat,fofm,6.924269363947344e-8,4.889648380012699,1.4161078314447964e-8
ALB,Albania,feed_marine_salmon_aquaculture_meat,fofm,4.957814958919701e-7,34.28977552738605,1.4458580969595638e-8
AND,Andorra,feed_land_chickens_industrial_meat,fofm,0,0,0
AND,Andorra,feed_marine_salmon_aquaculture_meat,fofm,0,0,0
ARE,United Arab Emirates,feed_land_chickens_industrial_meat,fofm,1.0735553814404455e-5,872.1672436166434,1.2309054132653498e-8
ARE,United Arab Emirates,feed_marine_salmon_aquaculture_meat,fofm,5.670007360362818e-6,457.2012597635931,1.2401556730824914e-8
ARG,Argentina,feed_land_chickens_industrial_meat,fofm,3.388547106189658e-5,1899.7524154222742,1.783678272327111e-8
ARG,Argentina,feed_marine_salmon_aquaculture_meat,fofm,2.449326188753488e-4,8763.170489744893,2.795022864863595e-8
ARM,Armenia,feed_land_chickens_industrial_meat,fofm,0,0,0
ARM,Armenia,feed_marine_salmon_aquaculture_meat,fofm,0,0,0
ASM,American Samoa,feed_land_chickens_industrial_meat,fofm,9.61067400551658e-8,5.162526643731419,1.861622160766242e-8
ASM,American Samoa,feed_marine_salmon_aquaculture_meat,fofm,4.476891609470142e-7,24.05192889529919,1.8613441063120406e-8
ATG,Antigua and Barbuda,feed_land_chickens_industrial_meat,fofm,3.930015653244084e-9,0.3539230211954993,1.1104153778889761e-8
ATG,Antigua and Barbuda,feed_marine_salmon_aquaculture_meat,fofm,2.0236535110133757e-8,1.7507228991472035,1.155895951323376e-8
AUS,Australia,feed_land_chickens_industrial_meat,fofm,1.26464978504444e-5,760.2640506607818,1.6634349394072656e-8
AUS,Australia,feed_marine_salmon_aquaculture_meat,fofm,6.492900432375465e-5,3840.736342433643,1.6905353175743655e-8
AUT,Austria,feed_land_chickens_industrial_meat,fofm,0,0,0
AUT,Austria,feed_marine_salmon_aquaculture_meat,fofm,0,0,0
AZE,Azerbaijan,feed_land_chickens_industrial_meat,fofm,0,0,0
AZE,Azerbaijan,feed_marine_salmon_aquaculture_meat,fofm,0,0,0
BDI,Burundi,feed_land_chickens_industrial_meat,fofm,0,0,0
BDI,Burundi,feed_marine_salmon_aquaculture_meat,fofm,0,0,0
BEL,Belgium,feed_land_chickens_industrial_meat,fofm,2.600654876736604e-6,54.43388362300345,4.7776397780987685e-8
BEL,Belgium,feed_marine_salmon_aquaculture_meat,fofm,5.0269378525601986e-5,1127.3004089692072,4.4592708496901754e-8
BEN,Benin,feed_land_chickens_industrial_meat,fofm,2.0939269734197165e-7,20.09905641989037,1.0418036198692046e-8
BEN,Benin,feed_marine_salmon_aquaculture_meat,fofm,2.3876474556966208e-6,226.35128930825192,1.0548415531422273e-8
