"","color_assign","number_cells","category","prop_cells"
"1","1",27424,"high chicken
zero salmon",0.00193018018018018
"2","2",48789,"high chicken
low salmon",0.00343391047297297
"3","3",593483,"high chicken
medium salmon",0.041771044481982
"4","4",313225,"high chicken
high salmon",0.022045678490991
"5","5",931607,"medium chicken
zero salmon",0.0655691863738739
"6","6",244996,"medium chicken
low salmon",0.0172435247747748
"7","7",2718479,"medium chicken
medium salmon",0.191334389076577
"8","8",528063,"medium chicken
high salmon",0.0371665962837838
"9","9",458858,"low chicken
zero salmon",0.0322957488738739
"10","10",3490945,"low chicken
low salmon",0.245702773085586
"11","11",473266,"low chicken
medium salmon",0.0333098254504504
"12","12",84,"low chicken
high salmon",0.00000591216216216216
"13","13",4374775,"zero chicken
zero salmon",0.307909276463964
"14","14",2205,"zero chicken
low salmon",0.000155194256756757
"15","15",1640,"zero chicken
medium salmon",0.000115427927927928
"16","16",161,"zero chicken
high salmon",0.0000113316441441441
