"","iso3c","Country","animal_system","country_farm_feed_chi","ID_0","land_area_km2","eez_area_km2","avg_cum_stress_km2","prop_of_global"
"1","ABW","Aruba","broiler",0,14,181.938402257482,30014.6386064619,0,0
"2","AFG","Afghanistan","broiler",0.000532653865774918,1,643859.325132383,0,0.000000000827282987111199,0.000000000827282987111199
"3","AGO","Angola","broiler",0.00566207303484847,8,1247425.8111619,495866.073705684,0.00000000324792026165977,0.00000000324792026165977
"4","AIA","Anguilla","broiler",0.000038526076874185,9,83.3033086456851,90164.1201186914,0.000000000426893925733009,0.000000000426893925733009
"5","ALA","Åland","broiler",0.000000755459094633489,3,1506.31201197467,0,0.000000000501528958560939,0.000000000501528958560939
"6","ALB","Albania","broiler",0.000379948901937576,4,28735.4275931828,12165.4669424536,0.00000000928950103051002,0.00000000928950103051002
"7","AND","Andorra","broiler",0.000000087860532304576,7,451.950818308493,0,0.000000000194402861429502,0.000000000194402861429502
"8","ARE","United Arab Emirates","broiler",0.00193022644270193,241,71196.7841345779,57846.8227290243,0.0000000149579393324162,0.0000000149579393324162
"9","ARG","Argentina","broiler",0.176157417262159,12,2780096.60975071,1072052.76829738,0.0000000457296433689752,0.0000000457296433689752
"10","ARM","Armenia","broiler",0.000141341858102951,13,29690.1634987487,0,0.00000000476056179713892,0.00000000476056179713892
"11","ASM","American Samoa","broiler",0.00000271157132879445,6,223.402738698485,405829.683302971,0.00000000000667787395787993,0.00000000000667787395787993
"12","ATG","Antigua and Barbuda","broiler",0.00000997741226790594,11,435.809947864644,111567.922330775,0.0000000000890810695761854,0.0000000000890810695761854
"13","AUS","Australia","broiler",0.0677776206327868,15,7688039.74386941,7764594.63859467,0.00000000438615312801952,0.00000000438615312801952
"14","AUT","Austria","broiler",0.00279992103665173,16,83858.2385140754,0,0.0000000333887413600009,0.0000000333887413600009
"15","AZE","Azerbaijan","broiler",0.00214131665405088,17,86235.4786678097,0,0.0000000248310403923136,0.0000000248310403923136
"16","BDI","Burundi","broiler",0.000151791769676163,39,26935.2915300064,0,0.00000000563542330726453,0.00000000563542330726453
"17","BEL","Belgium","broiler",0.00317015272939092,23,30707.4659415246,3494.96137330171,0.0000000926879458060188,0.0000000926879458060188
"18","BEN","Benin","broiler",0.00110217117043238,25,115423.190270991,35492.6362483578,0.00000000730321793182554,0.00000000730321793182554
"19","BES","Bonaire, Sint Eustatius and Saba","broiler",0.00000787938539139406,29,323.6942016457,24667.611023219,0.00000000031528506896689,0.00000000031528506896689
"20","BFA","Burkina Faso","broiler",0.00426486512778333,38,273417.490724208,0,0.0000000155983624766904,0.0000000155983624766904
"21","BGD","Bangladesh","broiler",0.00275346652145147,20,139384.446115717,112165.843896084,0.0000000109459882607263,0.0000000109459882607263
"22","BGR","Bulgaria","broiler",0.00647239004003268,37,111587.671176025,34744.9520967695,0.000000044230670477128,0.000000044230670477128
"23","BHR","Bahrain","broiler",0.0000297465725891077,19,715.125482328063,7515.88245281944,0.00000000361396475662305,0.00000000361396475662305
"24","BHS","Bahamas","broiler",0.000272785165258772,18,13388.079913293,619785.069183327,0.000000000430822383494892,0.000000000430822383494892
"25","BIH","Bosnia and Herzegovina","broiler",0.00187277158107295,30,51068.8531329539,12.9797901594536,0.0000000366621844578635,0.0000000366621844578635
"26","BLM","Saint-Barthélemy","broiler",0,190,24.7077716519849,4179.16793477124,0,0
"27","BLR","Belarus","broiler",0.00869108768259014,22,207069.808329688,0,0.0000000419717763429449,0.0000000419717763429449
"28","BLZ","Belize","broiler",0.000418444515058868,24,21989.4489925153,34311.9027363264,0.00000000743222857373262,0.00000000743222857373262
"29","BMU","Bermuda","broiler",0.00000210428631938228,26,68.062742122349,464389.167683483,0.00000000000453063529112038,0.00000000000453063529112038
"30","BOL","Bolivia","broiler",0.0411354203527937,28,1083392.99216273,0,0.0000000379690663040721,0.0000000379690663040721
"31","BRA","Brazil","broiler",0.468118223165003,33,8500365.47480343,3677664.47861889,0.0000000384395690399374,0.0000000384395690399374
"32","BRB","Barbados","broiler",0.000254278322106412,21,434.63964132333,185074.02844703,0.00000000137070857511254,0.00000000137070857511254
"33","BRN","Brunei","broiler",0.00152304103797165,36,5777.79929336346,43143.6103973427,0.000000031132402921353,0.000000031132402921353
"34","BTN","Bhutan","broiler",0.0000157150705404986,27,38762.9893948223,0,0.000000000405414308489781,0.000000000405414308489781
"35","BWA","Botswana","broiler",0.00037825104892041,31,577870.823012641,0,0.000000000654559866768244,0.000000000654559866768244
"36","CAF","Central African Republic","broiler",0.000898807522124886,46,620199.666918883,0,0.00000000144922283913842,0.00000000144922283913842
"37","CAN","Canada","broiler",0.0536877636826099,42,9949462.69739463,5765316.57480761,0.00000000341638674986532,0.00000000341638674986532
"38","CCK","Cocos Islands","broiler",0.000000746741992879197,52,13.7097440829807,467439.784883155,0.00000000000159746798657409,0.00000000000159746798657409
"39","CHE","Switzerland","broiler",0.00292191122389136,223,41245.7117490412,0,0.0000000708415760084267,0.0000000708415760084267
"40","CHL","Chile","broiler",0.0191161992357231,48,757580.311341943,3668776.26207453,0.00000000431872103357645,0.00000000431872103357645
"41","CHN","China","broiler",0.365972298725914,49,9382251.39895417,1302395.55638285,0.0000000342521657716645,0.0000000342521657716645
"42","CIV","Côte d'Ivoire","broiler",0.00578308529923156,57,321658.072097766,171760.651502024,0.0000000117204415289319,0.0000000117204415289319
"43","CMR","Cameroon","broiler",0.00674810023077971,41,466040.037678292,15142.5972778522,0.0000000140239895219717,0.0000000140239895219717
"44","COD","Democratic Republic of the Congo","broiler",0.00155833406826937,301,2329130.05727997,13373.2580979262,0.000000000665243057732014,0.000000000665243057732014
"45","COG","Republic of Congo","broiler",0.00041805473641034,185,341732.187075783,33806.5151152914,0.00000000111321345568701,0.00000000111321345568701
"46","COK","Cook Islands","broiler",0.00000105575369700298,55,261.315220056178,1969553.15260542,0.000000000000535966058858552,0.000000000000535966058858552
"47","COL","Colombia","broiler",0.0166820719651593,53,1136758.82137939,728837.330020539,0.00000000894195239020044,0.00000000894195239020044
"48","COM","Comoros","broiler",0.0000285781550770011,54,1673.14999276084,164475.850606046,0.000000000172003171695312,0.000000000172003171695312
"49","CPV","Cape Verde","broiler",0.000147953512634564,43,4090.95249179302,801936.208806719,0.000000000183558966420201,0.000000000183558966420201
"50","CRI","Costa Rica","broiler",0.00203770987825827,56,51176.8032125601,599062.787508304,0.00000000313378315829591,0.00000000313378315829591
"51","CUB","Cuba","broiler",0.00239702475919708,59,110730.653758233,352252.962757824,0.00000000517734250994592,0.00000000517734250994592
"52","CUW","Curaçao","broiler",0.00000638567558160056,60,437.711431202037,25400.7392390545,0.000000000247138486091634,0.000000000247138486091634
"53","CXR","Christmas Island","broiler",0.00000344080632856888,50,139.610344560719,327994.267957877,0.0000000000104859831796994,0.0000000000104859831796994
"54","CYM","Cayman Islands","broiler",0.000000469934189493897,45,280.407608616865,118290.763580735,0.000000000003963308996446,0.000000000003963308996446
"55","CYP","Cyprus","broiler",0.000252066747212074,61,9268.07768014394,98449.9814539863,0.00000000234006023909325,0.00000000234006023909325
