Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","1107","Asses","2016","2016","kg","1606576.335","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","1107","Asses","2016","2016","kg","481972.9005","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","1107","Asses","2016","2016","kg","321315.267","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","1126","Camels","2016","2016","kg","310602.4075","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","1126","Camels","2016","2016","kg","93180.7223","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","1126","Camels","2016","2016","kg","62120.4815","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","960","Cattle, dairy","2016","2016","kg","27490010.8744","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","960","Cattle, dairy","2016","2016","kg","8247003.2623","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","960","Cattle, dairy","2016","2016","kg","5498002.1749","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","961","Cattle, non-dairy","2016","2016","kg","5614557.2483","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","961","Cattle, non-dairy","2016","2016","kg","1684367.1745","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","961","Cattle, non-dairy","2016","2016","kg","1122911.4497","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","487754.4994","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","146326.3498","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","97550.8999","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","1052","Chickens, layers","2016","2016","kg","2749198.7779","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","1052","Chickens, layers","2016","2016","kg","824759.6334","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","1052","Chickens, layers","2016","2016","kg","549839.7556","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","1016","Goats","2016","2016","kg","5586558.6","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","1016","Goats","2016","2016","kg","1675967.58","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","1016","Goats","2016","2016","kg","1117311.72","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","1096","Horses","2016","2016","kg","342059.312","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","1096","Horses","2016","2016","kg","102617.7936","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","1096","Horses","2016","2016","kg","68411.8624","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","1110","Mules","2016","2016","kg","27174.615","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","1110","Mules","2016","2016","kg","8152.3845","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","1110","Mules","2016","2016","kg","5434.923","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","72381","Manure applied to soils (N content)","976","Sheep","2016","2016","kg","26964941.4216","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723812","Manure applied to soils that leaches (N content)","976","Sheep","2016","2016","kg","8089482.4265","Fc","Calculated data"
"GU","Manure applied to Soils","2","Afghanistan","723811","Manure applied to soils that volatilises (N content)","976","Sheep","2016","2016","kg","5392988.2843","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","72381","Manure applied to soils (N content)","1107","Asses","2016","2016","kg","30595.76","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723812","Manure applied to soils that leaches (N content)","1107","Asses","2016","2016","kg","9178.728","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723811","Manure applied to soils that volatilises (N content)","1107","Asses","2016","2016","kg","6119.152","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","72381","Manure applied to soils (N content)","946","Buffaloes","2016","2016","kg","2782.0779","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723812","Manure applied to soils that leaches (N content)","946","Buffaloes","2016","2016","kg","834.6234","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723811","Manure applied to soils that volatilises (N content)","946","Buffaloes","2016","2016","kg","556.4156","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","72381","Manure applied to soils (N content)","960","Cattle, dairy","2016","2016","kg","19364780.2109","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723812","Manure applied to soils that leaches (N content)","960","Cattle, dairy","2016","2016","kg","5809434.0633","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723811","Manure applied to soils that volatilises (N content)","960","Cattle, dairy","2016","2016","kg","3872956.0422","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","72381","Manure applied to soils (N content)","961","Cattle, non-dairy","2016","2016","kg","3588701.9465","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723812","Manure applied to soils that leaches (N content)","961","Cattle, non-dairy","2016","2016","kg","1076610.5839","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723811","Manure applied to soils that volatilises (N content)","961","Cattle, non-dairy","2016","2016","kg","717740.3893","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","72381","Manure applied to soils (N content)","1053","Chickens, broilers","2016","2016","kg","1004556.6135","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723812","Manure applied to soils that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","301366.984","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723811","Manure applied to soils that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","200911.3227","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","72381","Manure applied to soils (N content)","1052","Chickens, layers","2016","2016","kg","2953172.952","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723812","Manure applied to soils that leaches (N content)","1052","Chickens, layers","2016","2016","kg","885951.8856","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723811","Manure applied to soils that volatilises (N content)","1052","Chickens, layers","2016","2016","kg","590634.5904","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","72381","Manure applied to soils (N content)","1016","Goats","2016","2016","kg","676898.6273","Fc","Calculated data"
"GU","Manure applied to Soils","3","Albania","723812","Manure applied to soils that leaches (N content)","1016","Goats","2016","2016","kg","203069.5882","Fc","Calculated data"
