Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1107","Asses","2016","2016","kg","30524950.365","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1107","Asses","2016","2016","kg","9157485.1095","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","1107","Asses","2016","2016","kg","6104990.073","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1126","Camels","2016","2016","kg","5901445.7425","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1126","Camels","2016","2016","kg","1770433.7227","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","1126","Camels","2016","2016","kg","1180289.1485","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","960","Cattle, dairy","2016","2016","kg","87894370.9442","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","960","Cattle, dairy","2016","2016","kg","26368311.2833","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","960","Cattle, dairy","2016","2016","kg","17578874.1888","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","961","Cattle, non-dairy","2016","2016","kg","11160083.0551","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","961","Cattle, non-dairy","2016","2016","kg","3348024.9165","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","961","Cattle, non-dairy","2016","2016","kg","2232016.611","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1053","Chickens, broilers","2016","2016","kg","400241.1068","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1053","Chickens, broilers","2016","2016","kg","120072.332","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","1053","Chickens, broilers","2016","2016","kg","80048.2214","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1052","Chickens, layers","2016","2016","kg","2255934.826","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1052","Chickens, layers","2016","2016","kg","676780.4478","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","1052","Chickens, layers","2016","2016","kg","451186.9652","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1016","Goats","2016","2016","kg","106144613.4","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1016","Goats","2016","2016","kg","31843384.02","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","1016","Goats","2016","2016","kg","21228922.68","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1096","Horses","2016","2016","kg","6499126.928","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1096","Horses","2016","2016","kg","1949738.0784","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723801","Manure left on pasture that volatilises (N content)","1096","Horses","2016","2016","kg","1299825.3856","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","72380","Manure left on pasture (N content)","1110","Mules","2016","2016","kg","516317.685","Fc","Calculated data"
"GP","Manure left on Pasture","2","Afghanistan","723802","Manure left on pasture that leaches (N content)","1110","Mules","2016","2016","kg","154895.3055","Fc","Calculated data"
